Timestamp,HR After TTS (BPM),Reference HR,HFB Enabled During TTS,HR Used for Adjustment (BPM),Applied Intonation Scale
2025-06-26 18:26:12.745668,87,93,Yes,N/A,1.000
2025-06-26 18:26:29.023282,90,93,Yes,N/A,1.200
2025-06-26 18:26:57.174638,82,93,Yes,N/A,1.400
2025-06-26 18:27:21.109152,83,93,Yes,N/A,1.600
2025-06-26 18:27:37.001950,91,93,Yes,N/A,1.800
2025-06-26 18:28:14.285817,81,93,Yes,N/A,2.000
2025-06-26 18:29:00.820635,80,93,Yes,N/A,2.000
2025-06-26 18:29:34.136795,84,93,Yes,N/A,2.000
2025-06-26 18:30:04.443480,82,93,Yes,N/A,2.000
2025-06-26 18:30:33.650246,87,93,Yes,N/A,2.000
2025-06-26 18:30:50.459101,87,93,Yes,N/A,2.000
2025-06-26 18:31:13.217024,81,93,Yes,N/A,1.900
2025-06-26 18:31:36.683929,80,93,Yes,N/A,1.700
2025-06-26 18:31:58.253399,84,93,Yes,N/A,1.500
2025-06-26 18:32:37.087728,83,93,Yes,N/A,1.300
2025-06-26 18:33:18.303288,85,93,Yes,N/A,1.100
