Timestamp,HR at Recording Start (BPM)
2025-06-26 18:26:13.835303,87
2025-06-26 18:26:30.583602,89
2025-06-26 18:26:59.012698,83
2025-06-26 18:27:23.064882,86
2025-06-26 18:27:38.111340,90
2025-06-26 18:28:15.992380,83
2025-06-26 18:29:02.220436,82
2025-06-26 18:29:35.595175,85
2025-06-26 18:30:05.639724,82
2025-06-26 18:30:35.956221,87
2025-06-26 18:30:51.624059,85
2025-06-26 18:31:15.769994,83
2025-06-26 18:31:39.116530,81
2025-06-26 18:32:00.550272,81
2025-06-26 18:32:38.677877,82
2025-06-26 18:33:20.259724,85
