Timestamp,Heart Rate (BPM),Prosody Level Applied,Reference HR
2025-06-26 18:13:08.878483,85,1.00,93
2025-06-26 18:13:09.899286,85,1.00,93
2025-06-26 18:13:10.921431,84,1.00,93
2025-06-26 18:13:11.877680,84,1.00,93
2025-06-26 18:13:12.897656,84,1.00,93
2025-06-26 18:13:13.892573,84,1.00,93
2025-06-26 18:13:14.908003,84,1.00,93
2025-06-26 18:13:15.898792,85,1.00,93
2025-06-26 18:13:16.889696,85,1.00,93
2025-06-26 18:13:17.879683,86,1.00,93
2025-06-26 18:13:18.903874,86,1.00,93
2025-06-26 18:13:19.888194,87,1.00,93
2025-06-26 18:13:20.909007,87,1.00,93
2025-06-26 18:13:21.898973,87,1.00,93
2025-06-26 18:13:22.887856,87,1.00,93
2025-06-26 18:13:23.957947,87,1.00,93
2025-06-26 18:13:24.899070,86,1.00,93
2025-06-26 18:13:25.891691,86,1.00,93
2025-06-26 18:13:26.909679,86,1.00,93
2025-06-26 18:13:27.902585,86,1.00,93
2025-06-26 18:13:28.888105,86,1.00,93
2025-06-26 18:13:29.909180,86,1.00,93
2025-06-26 18:13:30.898845,87,1.00,93
2025-06-26 18:13:31.889640,87,1.00,93
2025-06-26 18:13:32.880112,88,1.00,93
2025-06-26 18:13:33.929846,89,1.00,93
2025-06-26 18:13:34.891322,90,1.00,93
2025-06-26 18:13:35.907915,91,1.00,93
2025-06-26 18:13:36.900318,92,1.00,93
2025-06-26 18:13:37.890045,93,1.00,93
2025-06-26 18:13:38.381474,93,1.00,93
2025-06-26 18:13:38.881684,94,1.00,93
2025-06-26 18:13:39.898888,96,1.00,93
2025-06-26 18:13:40.888307,97,1.00,93
2025-06-26 18:13:41.879464,98,1.00,93
2025-06-26 18:13:42.898735,99,1.00,93
2025-06-26 18:13:43.889475,100,1.00,93
2025-06-26 18:13:44.880009,102,1.00,93
2025-06-26 18:13:45.899652,103,1.00,93
2025-06-26 18:13:46.888717,104,1.00,93
2025-06-26 18:13:47.879240,105,1.00,93
2025-06-26 18:13:48.898669,106,1.00,93
2025-06-26 18:13:49.890256,106,1.00,93
2025-06-26 18:13:50.882283,107,1.00,93
2025-06-26 18:13:51.899648,107,1.00,93
2025-06-26 18:13:52.888497,107,1.00,93
2025-06-26 18:13:53.880320,106,1.00,93
2025-06-26 18:13:54.347147,106,1.00,93
2025-06-26 18:13:54.898491,106,1.00,93
2025-06-26 18:13:55.919955,105,1.00,93
2025-06-26 18:13:56.879531,105,1.00,93
2025-06-26 18:13:57.929505,105,1.00,93
2025-06-26 18:13:58.893053,104,1.00,93
2025-06-26 18:13:59.878567,104,1.00,93
2025-06-26 18:14:00.898851,103,1.00,93
2025-06-26 18:14:01.890318,104,1.00,93
2025-06-26 18:14:02.882217,105,1.00,93
2025-06-26 18:14:03.931484,106,1.00,93
2025-06-26 18:14:04.889197,107,1.00,93
2025-06-26 18:14:05.878819,108,1.00,93
2025-06-26 18:14:06.734685,108,2.00,93
2025-06-26 18:14:06.898956,109,2.00,93
2025-06-26 18:14:07.889230,109,2.00,93
2025-06-26 18:14:08.940499,110,2.00,93
2025-06-26 18:14:09.899262,109,2.00,93
2025-06-26 18:14:10.895373,108,2.00,93
2025-06-26 18:14:11.879576,107,2.00,93
2025-06-26 18:14:12.900201,106,2.00,93
2025-06-26 18:14:13.890379,104,2.00,93
2025-06-26 18:14:14.885358,103,2.00,93
2025-06-26 18:14:15.899629,101,2.00,93
2025-06-26 18:14:16.921782,100,2.00,93
2025-06-26 18:14:17.879513,98,2.00,93
2025-06-26 18:14:18.959207,97,2.00,93
2025-06-26 18:14:19.890404,96,2.00,93
2025-06-26 18:14:20.881562,95,2.00,93
2025-06-26 18:14:21.959918,95,2.00,93
2025-06-26 18:14:22.889762,95,2.00,93
2025-06-26 18:14:23.881631,95,2.00,93
2025-06-26 18:14:24.900148,95,2.00,93
2025-06-26 18:14:25.890397,96,2.00,93
2025-06-26 18:14:26.390589,96,2.00,93
2025-06-26 18:14:26.879788,97,2.00,93
2025-06-26 18:14:27.899555,97,2.00,93
2025-06-26 18:14:28.889586,97,2.00,93
2025-06-26 18:14:29.879831,97,2.00,93
2025-06-26 18:14:30.870559,96,2.00,93
2025-06-26 18:14:31.890794,96,2.00,93
2025-06-26 18:14:32.884360,96,2.00,93
2025-06-26 18:14:33.875220,96,2.00,93
