Timestamp,HR After TTS (BPM),Reference HR,HFB Enabled During TTS,HR Used for Adjustment (BPM),Applied Intonation Scale
2025-06-12 19:00:03.962630,82,80,Yes,81,1.000
2025-06-12 19:00:14.088995,80,80,Yes,82,1.200
2025-06-12 19:00:29.163991,82,80,Yes,80,1.000
2025-06-12 19:00:53.968682,92,80,Yes,82,1.200
2025-06-12 19:01:12.698056,86,80,Yes,92,2.000
2025-06-12 19:01:35.629486,86,80,Yes,86,1.600
2025-06-12 19:01:52.328059,81,80,Yes,86,1.600
2025-06-12 19:02:16.219339,85,80,Yes,81,1.100
2025-06-12 19:02:39.496001,80,80,Yes,85,1.500
2025-06-12 19:03:01.369317,75,80,Yes,80,1.000
2025-06-12 19:03:17.791487,82,80,Yes,75,0.500
2025-06-12 19:03:34.614366,81,80,Yes,82,1.200
2025-06-12 19:04:06.255524,77,80,Yes,81,1.100
2025-06-12 19:04:38.732380,76,80,Yes,77,0.700
2025-06-12 19:05:04.362459,79,80,Yes,76,0.600
2025-06-12 19:05:39.868585,76,80,Yes,79,0.900
2025-06-12 19:06:11.785068,76,80,Yes,76,0.600
2025-06-12 19:06:42.539423,77,80,Yes,76,0.600
