Timestamp,HR at Recording Start (BPM)
2025-06-12 19:00:07.212342,87
2025-06-12 19:00:18.761251,83
2025-06-12 19:00:40.289611,80
2025-06-12 19:00:57.956693,88
2025-06-12 19:01:13.718553,88
2025-06-12 19:01:18.168511,92
2025-06-12 19:01:36.638421,86
2025-06-12 19:01:53.297546,80
2025-06-12 19:01:55.833631,80
2025-06-12 19:02:00.165493,84
2025-06-12 19:02:17.290361,84
2025-06-12 19:02:20.486972,82
2025-06-12 19:02:41.216494,82
2025-06-12 19:03:03.102487,75
2025-06-12 19:03:19.605359,79
2025-06-12 19:03:36.864986,80
2025-06-12 19:04:08.815555,77
2025-06-12 19:04:39.812653,76
2025-06-12 19:05:07.065823,78
2025-06-12 19:05:42.234312,75
2025-06-12 19:06:12.909174,76
2025-06-12 19:06:43.778246,77
