Timestamp,Heart Rate (BPM)
2025-06-12 19:11:07.816032,89
2025-06-12 19:11:08.896489,87
2025-06-12 19:11:09.860708,86
2025-06-12 19:11:10.816665,84
2025-06-12 19:11:11.838166,82
2025-06-12 19:11:12.857547,82
2025-06-12 19:11:13.818591,80
2025-06-12 19:11:14.837777,79
2025-06-12 19:11:15.915084,79
2025-06-12 19:11:16.815114,81
2025-06-12 19:11:17.837239,82
2025-06-12 19:11:18.855152,84
2025-06-12 19:11:19.818960,85
2025-06-12 19:11:20.837878,84
2025-06-12 19:11:21.856898,84
2025-06-12 19:11:22.816824,84
2025-06-12 19:11:23.835812,83
2025-06-12 19:11:24.856021,83
2025-06-12 19:11:25.815398,83
2025-06-12 19:11:26.835841,83
2025-06-12 19:11:27.854979,83
2025-06-12 19:11:28.817274,83
2025-06-12 19:11:29.842535,83
2025-06-12 19:11:30.854877,82
2025-06-12 19:11:31.817279,82
2025-06-12 19:11:32.895019,82
2025-06-12 19:11:33.856128,83
2025-06-12 19:11:34.817969,83
2025-06-12 19:11:35.896101,84
2025-06-12 19:11:36.856469,85
2025-06-12 19:11:37.816507,85
2025-06-12 19:11:38.837683,85
2025-06-12 19:11:39.856142,84
2025-06-12 19:11:40.879855,84
2025-06-12 19:11:41.836695,84
2025-06-12 19:11:42.856845,83
2025-06-12 19:11:43.815296,83
2025-06-12 19:11:44.897208,83
2025-06-12 19:11:46.037092,82
2025-06-12 19:11:46.936084,80
2025-06-12 19:11:47.837101,79
2025-06-12 19:11:48.857052,79
2025-06-12 19:11:49.816641,79
2025-06-12 19:11:50.901569,80
2025-06-12 19:11:51.857056,81
2025-06-12 19:11:52.877594,81
2025-06-12 19:11:53.896781,81
2025-06-12 19:11:54.917994,83
2025-06-12 19:11:55.815402,84
2025-06-12 19:11:56.836961,84
2025-06-12 19:11:57.858119,84
2025-06-12 19:11:58.815750,84
2025-06-12 19:11:59.896172,83
2025-06-12 19:12:00.918268,83
2025-06-12 19:12:01.877008,82
2025-06-12 19:12:02.837963,81
2025-06-12 19:12:03.855260,81
2025-06-12 19:12:04.817446,81
2025-06-12 19:12:05.842086,81
2025-06-12 19:12:06.856817,81
2025-06-12 19:12:07.819386,82
2025-06-12 19:12:08.896874,82
2025-06-12 19:12:09.857929,82
2025-06-12 19:12:10.878025,81
2025-06-12 19:12:11.839005,81
2025-06-12 19:12:12.857797,80
2025-06-12 19:12:13.816659,80
2025-06-12 19:12:14.836453,80
2025-06-12 19:12:15.916139,80
2025-06-12 19:12:16.816977,80
2025-06-12 19:12:17.839296,81
2025-06-12 19:12:18.916872,81
2025-06-12 19:12:19.816335,81
2025-06-12 19:12:20.837182,83
2025-06-12 19:12:21.856265,84
2025-06-12 19:12:22.815500,85
2025-06-12 19:12:23.836986,86
2025-06-12 19:12:24.854935,86
2025-06-12 19:12:25.816137,87
2025-06-12 19:12:26.838226,88
2025-06-12 19:12:27.856177,89
2025-06-12 19:12:28.816050,90
2025-06-12 19:12:29.837578,90
2025-06-12 19:12:30.915839,90
2025-06-12 19:12:31.816567,92
2025-06-12 19:12:32.897500,92
2025-06-12 19:12:33.857988,92
2025-06-12 19:12:34.816990,92
2025-06-12 19:12:35.836870,91
2025-06-12 19:12:36.855659,90
2025-06-12 19:12:37.816647,90
2025-06-12 19:12:38.836695,89
2025-06-12 19:12:39.915599,89
2025-06-12 19:12:40.816240,87
2025-06-12 19:12:41.896819,86
2025-06-12 19:12:42.977666,86
2025-06-12 19:12:43.876690,85
2025-06-12 19:12:44.836212,83
2025-06-12 19:12:45.855827,83
2025-06-12 19:12:46.815577,83
2025-06-12 19:12:47.896694,82
2025-06-12 19:12:48.855357,82
2025-06-12 19:12:49.819481,82
2025-06-12 19:12:50.837595,82
2025-06-12 19:12:51.858141,82
2025-06-12 19:12:52.816965,82
2025-06-12 19:12:53.836434,82
2025-06-12 19:12:54.857784,82
2025-06-12 19:12:55.937221,82
2025-06-12 19:12:56.836967,82
2025-06-12 19:12:57.918312,82
2025-06-12 19:12:58.816727,82
2025-06-12 19:12:59.835772,84
2025-06-12 19:13:00.856693,86
2025-06-12 19:13:01.816705,87
2025-06-12 19:13:02.834723,88
2025-06-12 19:13:03.859456,88
2025-06-12 19:13:04.816247,88
2025-06-12 19:13:05.837181,87
2025-06-12 19:13:06.918698,86
2025-06-12 19:13:07.996272,86
2025-06-12 19:13:08.837598,87
2025-06-12 19:13:09.976761,87
2025-06-12 19:13:10.821228,87
