Timestamp,HR After TTS (BPM),Reference HR,HFB Enabled During TTS,HR Used for Adjustment (BPM),Applied Intonation Scale,Playback Start Time,Playback End Time
2025-11-18 14:17:03.510641,70,68,Yes,69,1.000,2025-11-18 14:17:00.875098,2025-11-18 14:17:03.407230
2025-11-18 14:17:17.494720,72,68,Yes,70,1.200,2025-11-18 14:17:12.713972,2025-11-18 14:17:17.387914
2025-11-18 14:17:31.774534,65,68,Yes,72,1.400,2025-11-18 14:17:26.329300,2025-11-18 14:17:31.672050
2025-11-18 14:17:50.613755,72,68,Yes,65,0.700,2025-11-18 14:17:44.836683,2025-11-18 14:17:50.508249
2025-11-18 14:18:10.444004,71,68,Yes,72,1.400,2025-11-18 14:18:03.849089,2025-11-18 14:18:10.339855
2025-11-18 14:18:30.995679,64,68,Yes,71,1.300,2025-11-18 14:18:24.062584,2025-11-18 14:18:30.890976
2025-11-18 14:18:50.579929,71,68,Yes,64,0.600,2025-11-18 14:18:44.963454,2025-11-18 14:18:50.474579
2025-11-18 14:19:12.733971,67,68,Yes,71,1.300,2025-11-18 14:19:04.349371,2025-11-18 14:19:12.631530
2025-11-18 14:19:35.097655,68,68,Yes,67,0.900,2025-11-18 14:19:27.984314,2025-11-18 14:19:34.996307
2025-11-18 14:19:57.159324,69,68,Yes,68,1.000,2025-11-18 14:19:49.846806,2025-11-18 14:19:57.056009
2025-11-18 14:20:16.232267,71,68,Yes,69,1.100,2025-11-18 14:20:08.256729,2025-11-18 14:20:16.127289
2025-11-18 14:20:38.841397,67,68,Yes,71,1.300,2025-11-18 14:20:28.744601,2025-11-18 14:20:38.736165
2025-11-18 14:20:57.218895,69,68,Yes,67,0.900,2025-11-18 14:20:52.121373,2025-11-18 14:20:57.114327
2025-11-18 14:21:12.671803,70,68,Yes,69,1.100,2025-11-18 14:21:07.096500,2025-11-18 14:21:12.566616
2025-11-18 14:21:30.222984,70,68,Yes,70,1.200,2025-11-18 14:21:22.034182,2025-11-18 14:21:30.118773
2025-11-18 14:21:48.489540,71,68,Yes,70,1.200,2025-11-18 14:21:41.724479,2025-11-18 14:21:48.386079
2025-11-18 14:22:07.649596,72,68,Yes,71,1.300,2025-11-18 14:21:59.313314,2025-11-18 14:22:07.545460
2025-11-18 14:22:25.076013,71,68,Yes,72,1.400,2025-11-18 14:22:17.482863,2025-11-18 14:22:24.970413
2025-11-18 14:22:43.621696,69,68,Yes,71,1.300,2025-11-18 14:22:35.666030,2025-11-18 14:22:43.517591
2025-11-18 14:23:03.146552,70,68,Yes,69,1.100,2025-11-18 14:22:55.988285,2025-11-18 14:23:03.040948
2025-11-18 14:23:20.019584,66,68,Yes,70,1.200,2025-11-18 14:23:14.756525,2025-11-18 14:23:19.918437
2025-11-18 14:23:46.246142,68,68,Yes,66,0.800,2025-11-18 14:23:33.774847,2025-11-18 14:23:46.145736
