Timestamp,HR at Recording Start (BPM)
2025-11-18 13:58:03.668029,76
2025-11-18 13:58:18.661064,70
2025-11-18 13:58:35.488554,67
2025-11-18 13:58:53.378044,68
2025-11-18 13:59:11.100036,70
2025-11-18 13:59:32.859388,67
2025-11-18 13:59:50.193788,70
2025-11-18 14:00:05.974465,76
2025-11-18 14:00:28.217508,71
2025-11-18 14:00:47.681644,72
2025-11-18 14:01:07.863820,68
2025-11-18 14:01:30.296900,67
2025-11-18 14:01:50.802638,69
2025-11-18 14:02:08.746722,73
2025-11-18 14:02:27.816449,72
2025-11-18 14:02:48.929286,70
2025-11-18 14:03:07.740289,73
2025-11-18 14:03:23.810980,73
2025-11-18 14:03:43.245179,71
2025-11-18 14:04:02.280061,71
