Timestamp,Heart Rate (BPM),Prosody Level Applied,Reference HR
2025-11-18 13:53:18.860729,68,1.00,59
2025-11-18 13:53:19.897586,68,1.00,59
2025-11-18 13:53:20.869508,67,1.00,59
2025-11-18 13:53:21.859742,67,1.00,59
2025-11-18 13:53:22.850266,67,1.00,59
2025-11-18 13:53:23.868777,68,1.00,59
2025-11-18 13:53:24.859261,68,1.00,59
2025-11-18 13:53:25.848796,68,1.00,59
2025-11-18 13:53:26.869589,69,1.00,59
2025-11-18 13:53:27.860097,69,1.00,59
2025-11-18 13:53:28.848657,69,1.00,59
2025-11-18 13:53:29.869581,69,1.00,59
2025-11-18 13:53:30.859161,69,1.00,59
2025-11-18 13:53:31.850223,69,1.00,59
2025-11-18 13:53:32.869418,70,1.00,59
2025-11-18 13:53:33.860200,71,1.00,59
2025-11-18 13:53:34.849257,71,1.00,59
2025-11-18 13:53:35.869768,72,1.00,59
2025-11-18 13:53:36.858790,72,1.00,59
2025-11-18 13:53:37.871841,72,1.00,59
2025-11-18 13:53:38.861290,73,1.00,59
2025-11-18 13:53:39.851187,73,1.00,59
2025-11-18 13:53:40.870783,72,1.00,59
2025-11-18 13:53:41.891541,72,1.00,59
2025-11-18 13:53:42.852946,72,1.00,59
2025-11-18 13:53:43.871482,72,1.00,59
2025-11-18 13:53:44.893654,71,1.00,59
2025-11-18 13:53:45.852304,71,1.00,59
2025-11-18 13:53:46.933711,71,1.00,59
2025-11-18 13:53:47.892022,71,1.00,59
2025-11-18 13:53:48.911806,71,1.00,59
2025-11-18 13:53:49.871732,71,1.00,59
2025-11-18 13:53:50.891564,70,1.00,59
2025-11-18 13:53:51.910817,70,1.00,59
2025-11-18 13:53:52.871739,70,1.00,59
2025-11-18 13:53:53.892143,71,1.00,59
2025-11-18 13:53:54.851973,71,1.00,59
2025-11-18 13:53:55.872668,71,1.00,59
2025-11-18 13:53:56.953146,70,1.00,59
2025-11-18 13:53:57.852888,70,1.00,59
2025-11-18 13:53:58.871313,68,1.00,59
2025-11-18 13:53:59.891682,67,1.00,59
2025-11-18 13:54:00.851033,67,1.00,59
2025-11-18 13:54:01.871529,66,1.00,59
2025-11-18 13:54:02.892245,66,1.00,59
2025-11-18 13:54:03.910776,66,1.00,59
2025-11-18 13:54:04.871083,66,1.00,59
2025-11-18 13:54:05.891579,66,1.00,59
2025-11-18 13:54:06.852418,66,1.00,59
2025-11-18 13:54:07.871509,65,1.00,59
2025-11-18 13:54:08.890682,65,1.00,59
2025-11-18 13:54:09.850816,64,1.00,59
2025-11-18 13:54:10.872103,64,1.00,59
2025-11-18 13:54:11.892537,63,1.00,59
2025-11-18 13:54:12.851809,64,1.00,59
2025-11-18 13:54:13.871349,64,1.00,59
2025-11-18 13:54:14.891937,64,1.00,59
2025-11-18 13:54:15.851812,65,1.00,59
2025-11-18 13:54:16.871781,65,1.00,59
2025-11-18 13:54:17.893682,65,1.00,59
2025-11-18 13:54:18.853174,65,1.00,59
2025-11-18 13:54:19.931379,66,1.00,59
2025-11-18 13:54:20.953506,66,1.00,59
2025-11-18 13:54:21.912928,67,1.00,59
2025-11-18 13:54:22.932878,67,1.00,59
2025-11-18 13:54:23.892089,67,1.00,59
2025-11-18 13:54:24.852165,66,1.00,59
2025-11-18 13:54:25.991249,66,1.00,59
2025-11-18 13:54:26.890808,66,1.00,59
2025-11-18 13:54:27.850790,66,1.00,59
2025-11-18 13:54:28.871074,66,1.00,59
2025-11-18 13:54:29.892124,66,1.00,59
2025-11-18 13:54:30.911453,67,1.00,59
2025-11-18 13:54:31.872293,67,1.00,59
2025-11-18 13:54:32.891180,67,1.00,59
2025-11-18 13:54:33.851669,66,1.00,59
2025-11-18 13:54:34.873217,65,1.00,59
2025-11-18 13:54:35.892042,64,1.00,59
2025-11-18 13:54:36.911607,64,1.00,59
2025-11-18 13:54:37.871200,64,1.00,59
2025-11-18 13:54:38.891603,64,1.00,59
2025-11-18 13:54:39.851865,64,1.00,59
2025-11-18 13:54:40.872485,63,1.00,59
2025-11-18 13:54:41.892995,63,1.00,59
2025-11-18 13:54:42.911244,62,1.00,59
2025-11-18 13:54:43.872317,62,1.00,59
2025-11-18 13:54:44.891591,62,1.00,59
2025-11-18 13:54:45.851875,62,1.00,59
2025-11-18 13:54:46.871760,63,1.00,59
2025-11-18 13:54:48.011718,63,1.00,59
2025-11-18 13:54:48.851789,64,1.00,59
2025-11-18 13:54:49.871742,64,1.00,59
2025-11-18 13:54:50.892539,65,1.00,59
2025-11-18 13:54:51.850819,65,1.00,59
2025-11-18 13:54:52.933275,65,1.00,59
2025-11-18 13:54:53.895751,65,1.00,59
2025-11-18 13:54:54.912513,66,1.00,59
2025-11-18 13:54:55.876168,67,1.00,59
2025-11-18 13:54:56.890884,68,1.00,59
2025-11-18 13:54:57.858804,68,1.00,59
2025-11-18 13:54:58.873669,68,1.00,59
2025-11-18 13:54:59.892481,69,1.00,59
2025-11-18 13:55:00.912531,69,1.00,59
2025-11-18 13:55:01.873264,69,1.00,59
2025-11-18 13:55:02.893519,69,1.00,59
2025-11-18 13:55:03.851038,69,1.00,59
2025-11-18 13:55:04.870703,69,1.00,59
2025-11-18 13:55:05.950834,69,1.00,59
2025-11-18 13:55:06.851266,69,1.00,59
2025-11-18 13:55:07.932179,69,1.00,59
2025-11-18 13:55:08.891868,70,1.00,59
2025-11-18 13:55:09.850976,71,1.00,59
2025-11-18 13:55:10.871088,72,1.00,59
2025-11-18 13:55:11.892058,72,1.00,59
2025-11-18 13:55:12.851998,72,1.00,59
2025-11-18 13:55:13.871658,71,1.00,59
2025-11-18 13:55:14.951214,71,1.00,59
2025-11-18 13:55:15.852989,71,1.00,59
2025-11-18 13:55:16.871815,72,1.00,59
2025-11-18 13:55:17.891291,73,1.00,59
2025-11-18 13:55:18.911794,74,1.00,59
2025-11-18 13:55:19.930756,75,1.00,59
2025-11-18 13:55:20.891616,76,1.00,59
2025-11-18 13:55:21.851488,77,1.00,59
2025-11-18 13:55:22.871324,75,1.00,59
2025-11-18 13:55:23.891197,74,1.00,59
2025-11-18 13:55:24.851641,73,1.00,59
2025-11-18 13:55:25.931800,72,1.00,59
2025-11-18 13:55:26.891312,72,1.00,59
2025-11-18 13:55:27.850448,72,1.00,59
2025-11-18 13:55:28.870682,71,1.00,59
2025-11-18 13:55:29.893572,71,1.00,59
2025-11-18 13:55:30.851898,70,1.00,59
2025-11-18 13:55:31.871364,70,1.00,59
2025-11-18 13:55:32.890818,69,1.00,59
2025-11-18 13:55:33.850716,68,1.00,59
2025-11-18 13:55:34.871410,67,1.00,59
2025-11-18 13:55:35.891364,67,1.00,59
2025-11-18 13:55:36.851454,67,1.00,59
2025-11-18 13:55:37.871528,67,1.00,59
2025-11-18 13:55:38.950492,68,1.00,59
2025-11-18 13:55:39.851457,68,1.00,59
2025-11-18 13:55:40.931564,68,1.00,59
2025-11-18 13:55:41.891891,69,1.00,59
2025-11-18 13:55:42.852193,68,1.00,59
2025-11-18 13:55:43.872017,68,1.00,59
2025-11-18 13:55:44.890475,67,1.00,59
2025-11-18 13:55:45.851323,67,1.00,59
2025-11-18 13:55:46.871841,67,1.00,59
2025-11-18 13:55:47.890473,67,1.00,59
2025-11-18 13:55:48.852937,68,1.00,59
2025-11-18 13:55:49.873087,68,1.00,59
2025-11-18 13:55:50.892879,69,1.00,59
2025-11-18 13:55:51.850889,70,1.00,59
2025-11-18 13:55:52.930633,70,1.00,59
2025-11-18 13:55:53.891547,70,1.00,59
2025-11-18 13:55:54.853264,69,1.00,59
2025-11-18 13:55:55.871791,68,1.00,59
2025-11-18 13:55:56.892250,67,1.00,59
2025-11-18 13:55:57.877184,66,1.00,59
2025-11-18 13:55:58.933258,65,1.00,59
2025-11-18 13:55:59.890989,65,1.00,59
2025-11-18 13:56:00.852839,65,1.00,59
2025-11-18 13:56:01.931279,65,1.00,59
2025-11-18 13:56:02.892170,65,1.00,59
2025-11-18 13:56:03.853635,65,1.00,59
2025-11-18 13:56:04.873579,65,1.00,59
2025-11-18 13:56:05.953026,64,1.00,59
2025-11-18 13:56:06.852608,64,1.00,59
2025-11-18 13:56:07.931175,64,1.00,59
2025-11-18 13:56:08.892776,64,1.00,59
2025-11-18 13:56:09.912815,64,1.00,59
2025-11-18 13:56:10.873540,65,1.00,59
2025-11-18 13:56:11.893387,66,1.00,59
2025-11-18 13:56:12.971832,67,1.00,59
2025-11-18 13:56:13.871344,68,1.00,59
2025-11-18 13:56:14.890338,68,1.00,59
2025-11-18 13:56:15.851922,68,1.00,59
2025-11-18 13:56:16.871491,69,1.00,59
2025-11-18 13:56:17.893331,69,1.00,59
2025-11-18 13:56:18.852153,70,1.00,59
2025-11-18 13:56:19.930873,70,1.00,59
2025-11-18 13:56:20.892857,71,1.00,59
2025-11-18 13:56:21.851888,71,1.00,59
2025-11-18 13:56:22.872842,71,1.00,59
2025-11-18 13:56:23.892422,71,1.00,59
2025-11-18 13:56:24.852195,70,1.00,59
2025-11-18 13:56:25.931855,70,1.00,59
2025-11-18 13:56:26.891749,68,1.00,59
2025-11-18 13:56:27.854082,67,1.00,59
2025-11-18 13:56:28.870519,66,1.00,59
