Timestamp,Heart Rate (BPM)
2025-11-18 14:17:00.788355,69
2025-11-18 14:17:01.809249,69
2025-11-18 14:17:02.766974,70
2025-11-18 14:17:03.788520,70
2025-11-18 14:17:04.868205,70
2025-11-18 14:17:05.827311,71
2025-11-18 14:17:06.788310,71
2025-11-18 14:17:07.811896,71
2025-11-18 14:17:08.766198,72
2025-11-18 14:17:09.787435,72
2025-11-18 14:17:10.868187,73
2025-11-18 14:17:11.767688,74
2025-11-18 14:17:12.788000,74
2025-11-18 14:17:13.749073,73
2025-11-18 14:17:14.829190,73
2025-11-18 14:17:15.787920,72
2025-11-18 14:17:16.747071,72
2025-11-18 14:17:17.766625,71
2025-11-18 14:17:18.788086,69
2025-11-18 14:17:19.746435,68
2025-11-18 14:17:20.765870,67
2025-11-18 14:17:21.845953,66
2025-11-18 14:17:22.807427,66
2025-11-18 14:17:23.768916,65
2025-11-18 14:17:24.788840,66
2025-11-18 14:17:25.748286,66
2025-11-18 14:17:26.767290,67
2025-11-18 14:17:27.786976,67
2025-11-18 14:17:28.748519,66
2025-11-18 14:17:29.829025,66
2025-11-18 14:17:30.847416,65
2025-11-18 14:17:31.748000,65
2025-11-18 14:17:32.768917,64
2025-11-18 14:17:33.788176,64
2025-11-18 14:17:34.746592,64
2025-11-18 14:17:35.768940,64
2025-11-18 14:17:36.788350,65
2025-11-18 14:17:37.748432,65
2025-11-18 14:17:38.766862,66
2025-11-18 14:17:39.786491,67
2025-11-18 14:17:40.761315,67
2025-11-18 14:17:41.767646,68
2025-11-18 14:17:42.787332,67
2025-11-18 14:17:43.747812,66
2025-11-18 14:17:44.829732,67
2025-11-18 14:17:45.789499,68
2025-11-18 14:17:46.748124,69
2025-11-18 14:17:47.766962,71
2025-11-18 14:17:48.788244,71
2025-11-18 14:17:49.748468,72
2025-11-18 14:17:50.830127,71
2025-11-18 14:17:51.786514,71
2025-11-18 14:17:52.806490,71
2025-11-18 14:17:53.771215,70
2025-11-18 14:17:54.787462,70
2025-11-18 14:17:55.747070,70
2025-11-18 14:17:56.767007,70
2025-11-18 14:17:57.785715,70
2025-11-18 14:17:58.746038,71
2025-11-18 14:17:59.825862,72
2025-11-18 14:18:00.788386,73
2025-11-18 14:18:01.807561,73
2025-11-18 14:18:02.827132,73
2025-11-18 14:18:03.787922,72
2025-11-18 14:18:04.748971,71
2025-11-18 14:18:05.769148,71
2025-11-18 14:18:06.786533,71
2025-11-18 14:18:07.749373,71
2025-11-18 14:18:08.767203,71
2025-11-18 14:18:09.787378,71
2025-11-18 14:18:10.806563,70
2025-11-18 14:18:11.767575,69
2025-11-18 14:18:12.786268,68
2025-11-18 14:18:13.750139,68
2025-11-18 14:18:14.767112,68
2025-11-18 14:18:15.787760,68
2025-11-18 14:18:16.750868,69
2025-11-18 14:18:17.766505,69
2025-11-18 14:18:18.786021,70
2025-11-18 14:18:19.750393,70
2025-11-18 14:18:20.768059,69
2025-11-18 14:18:21.788532,68
2025-11-18 14:18:22.746751,67
2025-11-18 14:18:23.766383,65
2025-11-18 14:18:24.787624,64
2025-11-18 14:18:25.745950,63
2025-11-18 14:18:26.765916,64
2025-11-18 14:18:27.785961,64
2025-11-18 14:18:28.748012,64
2025-11-18 14:18:29.766233,64
2025-11-18 14:18:30.787430,64
2025-11-18 14:18:31.747737,64
2025-11-18 14:18:32.766007,64
2025-11-18 14:18:33.788588,64
2025-11-18 14:18:34.747882,65
2025-11-18 14:18:35.826645,65
2025-11-18 14:18:36.787915,66
2025-11-18 14:18:37.747667,67
2025-11-18 14:18:38.766001,69
