Timestamp,Heart Rate (BPM),Prosody Level Applied,Reference HR
2025-06-06 14:57:56.955901,103,1.00,85
2025-06-06 14:57:57.875941,104,1.00,85
2025-06-06 14:57:58.865727,104,1.00,85
2025-06-06 14:57:59.856736,104,1.00,85
2025-06-06 14:58:00.939584,105,1.00,85
2025-06-06 14:58:01.896261,105,1.00,85
2025-06-06 14:58:02.916393,105,1.00,85
2025-06-06 14:58:03.876617,105,1.00,85
2025-06-06 14:58:04.867088,105,1.00,85
2025-06-06 14:58:05.856915,104,1.00,85
2025-06-06 14:58:06.905650,104,1.00,85
2025-06-06 14:58:07.865559,104,1.00,85
2025-06-06 14:58:08.856964,104,1.00,85
2025-06-06 14:58:09.876723,104,1.00,85
2025-06-06 14:58:10.866582,103,1.00,85
2025-06-06 14:58:11.887109,103,1.00,85
2025-06-06 14:58:12.881642,104,1.00,85
2025-06-06 14:58:13.896631,104,1.00,85
2025-06-06 14:58:14.856532,104,1.00,85
2025-06-06 14:58:15.877085,105,1.00,85
2025-06-06 14:58:16.867916,105,1.00,85
2025-06-06 14:58:17.885062,105,1.00,85
2025-06-06 14:58:18.973778,105,1.00,85
2025-06-06 14:58:19.934473,104,1.00,85
2025-06-06 14:58:20.893683,103,1.00,85
2025-06-06 14:58:21.854184,103,1.00,85
2025-06-06 14:58:22.875515,102,1.00,85
2025-06-06 14:58:23.895261,101,1.00,85
2025-06-06 14:58:24.854388,100,1.00,85
2025-06-06 14:58:25.874792,99,1.00,85
2025-06-06 14:58:26.894460,99,1.00,85
2025-06-06 14:58:27.915000,96,1.00,85
2025-06-06 14:58:28.876236,95,1.00,85
2025-06-06 14:58:29.894308,93,1.00,85
2025-06-06 14:58:30.853663,92,1.00,85
2025-06-06 14:58:31.873364,91,1.00,85
2025-06-06 14:58:32.952946,91,1.00,85
2025-06-06 14:58:33.853860,90,1.00,85
2025-06-06 14:58:34.876022,90,1.00,85
2025-06-06 14:58:35.897022,90,1.00,85
2025-06-06 14:58:36.852753,90,1.00,85
2025-06-06 14:58:37.875009,90,1.00,85
2025-06-06 14:58:38.953166,90,1.00,85
2025-06-06 14:58:39.855446,90,1.00,85
2025-06-06 14:58:40.873151,91,1.00,85
2025-06-06 14:58:41.893085,91,1.00,85
2025-06-06 14:58:42.854258,91,1.00,85
2025-06-06 14:58:43.876726,91,1.00,85
2025-06-06 14:58:44.895090,91,1.00,85
2025-06-06 14:58:45.853738,91,1.00,85
2025-06-06 14:58:46.874393,91,1.00,85
2025-06-06 14:58:47.894224,91,1.00,85
2025-06-06 14:58:48.856139,91,1.00,85
2025-06-06 14:58:49.874264,91,1.00,85
2025-06-06 14:58:50.895006,91,1.00,85
2025-06-06 14:58:51.915513,92,1.00,85
2025-06-06 14:58:52.876070,92,1.00,85
2025-06-06 14:58:53.895326,93,1.00,85
2025-06-06 14:58:54.854198,93,1.00,85
2025-06-06 14:58:55.872891,93,1.00,85
2025-06-06 14:58:56.895920,94,1.00,85
2025-06-06 14:58:57.914713,94,1.00,85
2025-06-06 14:58:58.876838,94,1.00,85
2025-06-06 14:58:59.894468,94,1.00,85
2025-06-06 14:59:00.855920,93,1.00,85
2025-06-06 14:59:01.875791,93,1.00,85
2025-06-06 14:59:02.895434,93,1.00,85
2025-06-06 14:59:03.857252,94,1.00,85
2025-06-06 14:59:04.874378,94,1.00,85
2025-06-06 14:59:05.955315,94,1.00,85
2025-06-06 14:59:06.856008,94,1.00,85
2025-06-06 14:59:07.874570,94,1.00,85
2025-06-06 14:59:08.895688,94,1.00,85
2025-06-06 14:59:09.856631,94,1.00,85
2025-06-06 14:59:10.873329,93,1.00,85
2025-06-06 14:59:11.896469,93,1.00,85
2025-06-06 14:59:12.856211,93,1.00,85
2025-06-06 14:59:13.937111,93,1.00,85
2025-06-06 14:59:14.896912,93,1.00,85
2025-06-06 14:59:15.915753,93,1.00,85
2025-06-06 14:59:16.873851,92,1.00,85
2025-06-06 14:59:17.894287,92,1.00,85
2025-06-06 14:59:18.855514,92,1.00,85
2025-06-06 14:59:19.873975,92,1.00,85
2025-06-06 14:59:20.896352,92,1.00,85
2025-06-06 14:59:21.855317,93,1.00,85
2025-06-06 14:59:22.878104,94,1.00,85
2025-06-06 14:59:23.895204,94,1.00,85
2025-06-06 14:59:24.915770,95,1.00,85
2025-06-06 14:59:25.874293,95,1.00,85
2025-06-06 14:59:26.955103,94,1.00,85
2025-06-06 14:59:27.854092,93,1.00,85
2025-06-06 14:59:28.936739,92,1.00,85
2025-06-06 14:59:29.896747,92,1.00,85
2025-06-06 14:59:30.855034,93,1.00,85
2025-06-06 14:59:31.875272,93,1.00,85
2025-06-06 14:59:32.894885,94,1.00,85
2025-06-06 14:59:33.856809,94,1.00,85
2025-06-06 14:59:34.875534,95,1.00,85
2025-06-06 14:59:35.895699,95,1.00,85
2025-06-06 14:59:36.857315,95,1.00,85
2025-06-06 14:59:37.876310,95,1.00,85
2025-06-06 14:59:38.955342,95,1.00,85
2025-06-06 14:59:39.856857,94,1.00,85
2025-06-06 14:59:40.875282,94,1.00,85
2025-06-06 14:59:41.894708,93,1.00,85
2025-06-06 14:59:42.854237,93,1.00,85
2025-06-06 14:59:43.879769,92,1.00,85
2025-06-06 14:59:44.897137,92,1.00,85
2025-06-06 14:59:45.917769,91,1.00,85
2025-06-06 14:59:46.874389,91,1.00,85
2025-06-06 14:59:47.895313,91,1.00,85
2025-06-06 14:59:48.856182,92,1.00,85
2025-06-06 14:59:49.874517,92,1.00,85
2025-06-06 14:59:50.896261,92,1.00,85
2025-06-06 14:59:51.857376,92,1.00,85
2025-06-06 14:59:52.877503,91,1.00,85
2025-06-06 14:59:53.895371,91,1.00,85
2025-06-06 14:59:54.856136,91,1.00,85
2025-06-06 14:59:55.876894,92,1.00,85
2025-06-06 14:59:56.955463,93,1.00,85
2025-06-06 14:59:57.914800,94,1.00,85
2025-06-06 14:59:58.876723,94,1.00,85
2025-06-06 14:59:59.895676,94,1.00,85
2025-06-06 15:00:00.855005,94,1.00,85
2025-06-06 15:00:01.875139,93,1.00,85
2025-06-06 15:00:02.896230,93,1.00,85
2025-06-06 15:00:03.860333,94,1.00,85
2025-06-06 15:00:04.877730,94,1.00,85
2025-06-06 15:00:05.897498,95,1.00,85
2025-06-06 15:00:06.915485,97,1.00,85
2025-06-06 15:00:07.876975,97,1.00,85
2025-06-06 15:00:08.896303,98,1.00,85
2025-06-06 15:00:09.858189,97,1.00,85
2025-06-06 15:00:10.876747,97,1.00,85
2025-06-06 15:00:11.956648,96,1.00,85
2025-06-06 15:00:12.857525,96,1.00,85
2025-06-06 15:00:13.877421,96,1.00,85
2025-06-06 15:00:14.894668,96,1.00,85
2025-06-06 15:00:15.856534,96,1.00,85
2025-06-06 15:00:16.876517,96,1.00,85
2025-06-06 15:00:17.896526,96,1.00,85
2025-06-06 15:00:18.854898,95,1.00,85
2025-06-06 15:00:19.875489,95,1.00,85
2025-06-06 15:00:20.896604,95,1.00,85
2025-06-06 15:00:21.916864,95,1.00,85
2025-06-06 15:00:22.876386,95,1.00,85
2025-06-06 15:00:23.896354,95,1.00,85
2025-06-06 15:00:24.858106,95,1.00,85
2025-06-06 15:00:25.876894,95,1.00,85
2025-06-06 15:00:27.016963,95,1.00,85
2025-06-06 15:00:27.916447,95,1.00,85
2025-06-06 15:00:28.876743,96,1.00,85
2025-06-06 15:00:29.958253,97,1.00,85
2025-06-06 15:00:30.917921,98,1.00,85
2025-06-06 15:00:31.877737,98,1.00,85
2025-06-06 15:00:32.897218,98,1.00,85
2025-06-06 15:00:33.857986,97,1.00,85
2025-06-06 15:00:34.878809,96,1.00,85
2025-06-06 15:00:35.896643,95,1.00,85
