Timestamp,HR After TTS (BPM),Reference HR,HFB Enabled During TTS,HR Used for Adjustment (BPM),Applied Intonation Scale,Playback Start Time,Playback End Time
2025-11-18 12:55:19.395915,65,59,Yes,67,1.000,2025-11-18 12:55:15.332343,2025-11-18 12:55:19.290444
2025-11-18 12:55:41.540493,59,59,Yes,65,1.600,2025-11-18 12:55:30.695347,2025-11-18 12:55:41.435260
2025-11-18 12:56:05.266130,53,59,Yes,59,1.000,2025-11-18 12:55:53.772816,2025-11-18 12:56:05.160721
2025-11-18 12:56:32.493125,54,59,Yes,53,0.400,2025-11-18 12:56:18.565865,2025-11-18 12:56:32.389274
2025-11-18 12:57:03.419996,56,59,Yes,54,0.500,2025-11-18 12:56:45.527833,2025-11-18 12:57:03.315595
2025-11-18 12:57:34.038290,68,59,Yes,56,0.700,2025-11-18 12:57:17.312209,2025-11-18 12:57:33.936052
2025-11-18 12:58:02.373362,54,59,Yes,68,1.900,2025-11-18 12:57:46.942222,2025-11-18 12:58:02.268641
2025-11-18 12:58:47.740985,58,59,Yes,54,0.500,2025-11-18 12:58:20.531015,2025-11-18 12:58:47.638701
2025-11-18 12:59:35.183691,57,59,Yes,58,0.900,2025-11-18 12:59:15.217978,2025-11-18 12:59:35.078439
2025-11-18 13:00:30.859914,54,59,Yes,57,0.800,2025-11-18 12:59:58.877959,2025-11-18 13:00:30.753883
2025-11-18 13:01:23.804284,57,59,Yes,54,0.500,2025-11-18 13:00:50.333707,2025-11-18 13:01:23.703164
