Timestamp,HR at Recording Start (BPM)
2025-11-18 12:55:21.088803,63
2025-11-18 12:55:42.555648,58
2025-11-18 12:55:44.695988,57
2025-11-18 12:56:06.234475,53
2025-11-18 12:56:33.588977,54
2025-11-18 12:57:04.484830,56
2025-11-18 12:57:35.122034,68
2025-11-18 12:57:37.686555,67
2025-11-18 12:58:03.538375,54
2025-11-18 12:58:05.873678,54
2025-11-18 12:58:48.836454,59
2025-11-18 12:59:03.109359,59
2025-11-18 12:59:36.135669,57
2025-11-18 12:59:40.988535,57
2025-11-18 13:00:32.129665,54
2025-11-18 13:00:34.321021,55
2025-11-18 13:01:24.907415,56
2025-11-18 13:01:27.053023,56
