Timestamp,Heart Rate (BPM),Prosody Level Applied,Reference HR
2025-11-18 12:40:09.022165,62,1.00,69
2025-11-18 12:40:10.012454,61,1.00,69
2025-11-18 12:40:11.003624,60,1.00,69
2025-11-18 12:40:12.022159,60,1.00,69
2025-11-18 12:40:13.011502,60,1.00,69
2025-11-18 12:40:14.034807,60,1.00,69
2025-11-18 12:40:15.022545,60,1.00,69
2025-11-18 12:40:16.042372,61,1.00,69
2025-11-18 12:40:17.002328,61,1.00,69
2025-11-18 12:40:18.052578,61,1.00,69
2025-11-18 12:40:19.010789,62,1.00,69
2025-11-18 12:40:20.003036,63,1.00,69
2025-11-18 12:40:21.021696,64,1.00,69
2025-11-18 12:40:22.041242,64,1.00,69
2025-11-18 12:40:23.004434,65,1.00,69
2025-11-18 12:40:24.023392,66,1.00,69
2025-11-18 12:40:25.012012,65,1.00,69
2025-11-18 12:40:26.001789,65,1.00,69
2025-11-18 12:40:27.023926,64,1.00,69
2025-11-18 12:40:28.011723,64,1.00,69
2025-11-18 12:40:29.032436,63,1.00,69
2025-11-18 12:40:30.022893,63,1.00,69
2025-11-18 12:40:31.025844,62,1.00,69
2025-11-18 12:40:32.047261,62,1.00,69
2025-11-18 12:40:33.007338,61,1.00,69
2025-11-18 12:40:34.087135,61,1.00,69
2025-11-18 12:40:35.046746,61,1.00,69
2025-11-18 12:40:36.006437,60,1.00,69
2025-11-18 12:40:37.026329,61,1.00,69
2025-11-18 12:40:38.046394,61,1.00,69
2025-11-18 12:40:39.006875,61,1.00,69
2025-11-18 12:40:40.025661,61,1.00,69
2025-11-18 12:40:41.046705,60,1.00,69
2025-11-18 12:40:42.008487,60,1.00,69
2025-11-18 12:40:43.027495,60,1.00,69
2025-11-18 12:40:44.048565,59,1.00,69
2025-11-18 12:40:45.008651,59,1.00,69
2025-11-18 12:40:46.026395,59,1.00,69
2025-11-18 12:40:47.046790,60,1.00,69
2025-11-18 12:40:48.007342,60,1.00,69
2025-11-18 12:40:49.026182,60,1.00,69
2025-11-18 12:40:50.048077,61,1.00,69
2025-11-18 12:40:51.007753,61,1.00,69
2025-11-18 12:40:52.026993,62,1.00,69
2025-11-18 12:40:53.048229,62,1.00,69
2025-11-18 12:40:54.007317,62,1.00,69
