Timestamp,Heart Rate (BPM)
2025-11-18 13:04:42.895495,60
2025-11-18 13:04:43.916459,60
2025-11-18 13:04:44.937066,61
2025-11-18 13:04:45.897163,62
2025-11-18 13:04:46.917491,62
2025-11-18 13:04:47.995424,63
2025-11-18 13:04:48.955536,63
2025-11-18 13:04:49.915054,64
2025-11-18 13:04:50.936033,64
2025-11-18 13:04:51.897911,64
2025-11-18 13:04:52.915661,65
2025-11-18 13:04:53.935052,65
2025-11-18 13:04:54.895486,65
2025-11-18 13:04:55.916324,65
2025-11-18 13:04:56.935159,64
2025-11-18 13:04:57.895161,64
2025-11-18 13:04:58.915012,64
2025-11-18 13:04:59.934080,63
2025-11-18 13:05:00.896693,63
2025-11-18 13:05:01.917119,63
2025-11-18 13:05:02.935891,63
2025-11-18 13:05:03.895170,63
2025-11-18 13:05:04.917106,63
2025-11-18 13:05:05.935572,63
2025-11-18 13:05:06.956838,63
2025-11-18 13:05:07.914888,62
2025-11-18 13:05:08.936191,61
2025-11-18 13:05:09.896670,60
2025-11-18 13:05:10.915019,58
2025-11-18 13:05:11.934394,57
2025-11-18 13:05:12.894718,56
2025-11-18 13:05:13.916790,56
2025-11-18 13:05:14.936693,55
2025-11-18 13:05:15.896666,55
2025-11-18 13:05:16.914725,55
2025-11-18 13:05:17.936559,55
2025-11-18 13:05:18.897487,55
2025-11-18 13:05:19.977683,55
2025-11-18 13:05:20.997785,55
2025-11-18 13:05:21.956835,55
2025-11-18 13:05:22.916274,56
2025-11-18 13:05:23.938547,56
2025-11-18 13:05:24.895375,56
2025-11-18 13:05:25.914880,56
2025-11-18 13:05:26.995924,57
2025-11-18 13:05:27.896140,58
2025-11-18 13:05:28.916880,59
2025-11-18 13:05:29.934355,60
2025-11-18 13:05:30.954155,60
2025-11-18 13:05:31.915412,61
2025-11-18 13:05:32.935133,60
2025-11-18 13:05:33.894854,59
2025-11-18 13:05:34.916881,58
2025-11-18 13:05:35.934663,57
2025-11-18 13:05:36.895339,56
2025-11-18 13:05:37.914927,55
2025-11-18 13:05:38.935437,54
2025-11-18 13:05:39.954832,53
2025-11-18 13:05:40.975181,53
2025-11-18 13:05:41.935817,53
2025-11-18 13:05:42.896346,53
2025-11-18 13:05:43.916643,53
2025-11-18 13:05:44.934799,53
2025-11-18 13:05:45.894838,54
2025-11-18 13:05:46.915281,54
2025-11-18 13:05:47.934865,54
2025-11-18 13:05:48.895021,55
2025-11-18 13:05:49.974657,55
2025-11-18 13:05:50.934314,55
2025-11-18 13:05:52.015068,55
2025-11-18 13:05:52.914780,57
2025-11-18 13:05:53.994314,57
2025-11-18 13:05:54.895020,58
2025-11-18 13:05:55.975587,58
2025-11-18 13:05:56.934353,57
2025-11-18 13:05:57.894227,57
