Timestamp,HR After TTS (BPM),Reference HR,HFB Enabled During TTS,HR Used for Adjustment (BPM),Applied Intonation Scale
2025-06-12 13:21:53.455391,75,71,Yes,N/A,1.000
2025-06-12 13:22:12.330902,76,71,Yes,N/A,1.100
2025-06-12 13:22:39.239993,72,71,Yes,N/A,1.200
2025-06-12 13:23:04.084977,71,71,Yes,N/A,1.300
2025-06-12 13:23:39.248425,67,71,Yes,N/A,1.400
2025-06-12 13:24:17.906208,72,71,Yes,N/A,1.500
2025-06-12 13:24:56.716513,70,71,Yes,N/A,1.600
2025-06-12 13:25:38.497009,65,71,Yes,N/A,1.700
2025-06-12 13:26:57.180397,72,71,Yes,N/A,1.800
2025-06-12 13:28:01.546057,70,71,Yes,N/A,1.900
