Timestamp,Heart Rate (BPM),Prosody Level Applied,Reference HR
2025-06-12 13:12:13.271108,73,1.00,91
2025-06-12 13:12:14.289257,72,1.00,91
2025-06-12 13:12:15.279901,72,1.00,91
2025-06-12 13:12:16.267914,71,1.00,91
2025-06-12 13:12:17.289242,70,1.00,91
2025-06-12 13:12:18.278922,71,1.00,91
2025-06-12 13:12:19.328942,72,1.00,91
2025-06-12 13:12:20.289765,72,1.00,91
2025-06-12 13:12:21.282133,73,1.00,91
2025-06-12 13:12:22.268731,73,1.00,91
2025-06-12 13:12:23.290775,72,1.00,91
2025-06-12 13:12:24.311267,71,1.00,91
2025-06-12 13:12:25.276745,71,1.00,91
2025-06-12 13:12:26.289182,70,1.00,91
2025-06-12 13:12:27.285611,70,1.00,91
2025-06-12 13:12:28.274027,70,1.00,91
2025-06-12 13:12:29.289611,70,1.00,91
2025-06-12 13:12:30.283907,71,1.00,91
2025-06-12 13:12:31.271281,71,1.00,91
2025-06-12 13:12:32.289300,72,1.00,91
2025-06-12 13:12:33.280691,73,1.00,91
2025-06-12 13:12:34.270273,73,1.00,91
2025-06-12 13:12:35.366945,74,1.00,91
2025-06-12 13:12:36.325834,74,1.00,91
2025-06-12 13:12:37.346462,74,1.00,91
2025-06-12 13:12:38.307951,75,1.00,91
2025-06-12 13:12:39.265876,75,1.00,91
2025-06-12 13:12:40.284976,76,1.00,91
2025-06-12 13:12:41.307110,76,1.00,91
2025-06-12 13:12:42.264926,77,1.00,91
2025-06-12 13:12:43.285508,77,1.00,91
2025-06-12 13:12:44.307830,77,1.00,91
2025-06-12 13:12:45.267467,78,1.00,91
2025-06-12 13:12:46.284862,78,1.00,91
2025-06-12 13:12:47.365959,78,1.00,91
2025-06-12 13:12:48.264540,78,1.00,91
2025-06-12 13:12:49.284935,78,1.00,91
2025-06-12 13:12:50.364220,78,1.00,91
2025-06-12 13:12:51.265188,78,1.00,91
2025-06-12 13:12:52.284190,79,1.00,91
2025-06-12 13:12:53.365902,79,1.00,91
2025-06-12 13:12:54.386526,79,1.00,91
2025-06-12 13:12:55.286908,80,1.00,91
2025-06-12 13:12:56.303808,80,1.00,91
2025-06-12 13:12:57.264566,79,1.00,91
2025-06-12 13:12:58.285234,79,1.00,91
2025-06-12 13:12:59.304260,78,1.00,91
2025-06-12 13:13:00.265227,76,1.00,91
2025-06-12 13:13:01.287615,75,1.00,91
2025-06-12 13:13:02.305694,75,1.00,91
2025-06-12 13:13:03.264766,74,1.00,91
2025-06-12 13:13:04.347832,75,1.00,91
2025-06-12 13:13:05.304857,76,1.00,91
2025-06-12 13:13:06.264558,76,1.00,91
2025-06-12 13:13:07.285048,76,1.00,91
2025-06-12 13:13:08.305884,76,1.00,91
2025-06-12 13:13:09.325837,76,1.00,91
2025-06-12 13:13:10.285426,77,1.00,91
2025-06-12 13:13:11.305393,77,1.00,91
2025-06-12 13:13:12.266068,77,1.00,91
2025-06-12 13:13:13.285411,76,1.00,91
2025-06-12 13:13:14.364877,75,1.00,91
2025-06-12 13:13:15.266080,75,1.00,91
2025-06-12 13:13:16.345902,73,1.00,91
2025-06-12 13:13:17.305851,72,1.00,91
2025-06-12 13:13:18.325068,71,1.00,91
2025-06-12 13:13:19.285840,70,1.00,91
2025-06-12 13:13:20.305153,69,1.00,91
2025-06-12 13:13:21.268996,69,1.00,91
2025-06-12 13:13:22.345268,69,1.00,91
2025-06-12 13:13:23.366099,68,1.00,91
2025-06-12 13:13:24.265961,68,1.00,91
2025-06-12 13:13:25.284877,67,1.00,91
2025-06-12 13:13:26.305994,68,1.00,91
2025-06-12 13:13:27.266423,68,1.00,91
2025-06-12 13:13:28.292390,68,1.00,91
2025-06-12 13:13:29.365543,68,1.00,91
2025-06-12 13:13:30.266482,67,1.00,91
2025-06-12 13:13:31.286724,67,1.00,91
2025-06-12 13:13:32.306454,67,1.00,91
2025-06-12 13:13:33.267091,67,1.00,91
2025-06-12 13:13:34.286358,68,1.00,91
2025-06-12 13:13:35.308109,68,1.00,91
2025-06-12 13:13:36.267434,68,1.00,91
2025-06-12 13:13:37.288736,67,1.00,91
2025-06-12 13:13:38.312443,68,1.00,91
2025-06-12 13:13:39.329002,68,1.00,91
2025-06-12 13:13:40.288055,68,1.00,91
2025-06-12 13:13:41.310208,68,1.00,91
2025-06-12 13:13:42.329209,68,1.00,91
2025-06-12 13:13:43.288538,68,1.00,91
2025-06-12 13:13:44.308249,69,1.00,91
2025-06-12 13:13:45.267270,70,1.00,91
2025-06-12 13:13:46.287822,70,1.00,91
2025-06-12 13:13:47.305676,70,1.00,91
2025-06-12 13:13:48.326765,70,1.00,91
2025-06-12 13:13:49.291450,70,1.00,91
2025-06-12 13:13:50.307770,70,1.00,91
2025-06-12 13:13:51.269812,70,1.00,91
2025-06-12 13:13:52.287806,69,1.00,91
2025-06-12 13:13:53.307533,69,1.00,91
2025-06-12 13:13:54.267326,68,1.00,91
2025-06-12 13:13:55.288154,68,1.00,91
2025-06-12 13:13:56.306564,68,1.00,91
2025-06-12 13:13:57.268064,69,1.00,91
2025-06-12 13:13:58.288401,70,1.00,91
2025-06-12 13:13:59.307649,70,1.00,91
2025-06-12 13:14:00.267652,70,1.00,91
2025-06-12 13:14:01.287734,69,1.00,91
2025-06-12 13:14:02.368189,70,1.00,91
2025-06-12 13:14:03.328789,70,1.00,91
2025-06-12 13:14:04.288040,71,1.00,91
2025-06-12 13:14:05.308080,71,1.00,91
2025-06-12 13:14:06.268552,72,1.00,91
2025-06-12 13:14:07.347379,73,1.00,91
2025-06-12 13:14:08.307704,73,1.00,91
2025-06-12 13:14:09.269331,74,1.00,91
2025-06-12 13:14:10.287968,73,1.00,91
2025-06-12 13:14:11.309969,73,1.00,91
2025-06-12 13:14:12.268892,72,1.00,91
2025-06-12 13:14:13.348468,72,1.00,91
2025-06-12 13:14:14.308024,71,1.00,91
2025-06-12 13:14:15.328981,70,1.00,91
2025-06-12 13:14:16.288220,70,1.00,91
2025-06-12 13:14:17.308252,69,1.00,91
2025-06-12 13:14:18.269507,70,1.00,91
2025-06-12 13:14:19.288566,70,1.00,91
2025-06-12 13:14:20.367842,70,1.00,91
2025-06-12 13:14:21.269745,71,1.00,91
2025-06-12 13:14:22.347967,71,1.00,91
2025-06-12 13:14:23.308652,71,1.00,91
2025-06-12 13:14:24.271008,71,1.00,91
2025-06-12 13:14:25.289349,72,1.00,91
2025-06-12 13:14:26.308790,72,1.00,91
2025-06-12 13:14:27.268711,73,1.00,91
2025-06-12 13:14:28.288696,72,1.00,91
2025-06-12 13:14:29.368880,72,1.00,91
2025-06-12 13:14:30.268918,72,1.00,91
2025-06-12 13:14:31.289034,72,1.00,91
2025-06-12 13:14:32.307736,71,1.00,91
2025-06-12 13:14:33.268930,71,1.00,91
2025-06-12 13:14:34.288088,70,1.00,91
2025-06-12 13:14:35.308937,69,1.00,91
2025-06-12 13:14:36.268498,69,1.00,91
2025-06-12 13:14:37.289865,69,1.00,91
2025-06-12 13:14:38.308283,70,1.00,91
2025-06-12 13:14:39.269274,71,1.00,91
2025-06-12 13:14:40.289566,71,1.00,91
2025-06-12 13:14:41.430877,71,1.00,91
2025-06-12 13:14:42.270088,71,1.00,91
2025-06-12 13:14:43.291350,71,1.00,91
2025-06-12 13:14:44.307638,72,1.00,91
2025-06-12 13:14:45.269122,72,1.00,91
2025-06-12 13:14:46.349965,72,1.00,91
2025-06-12 13:14:47.310632,72,1.00,91
2025-06-12 13:14:48.268674,73,1.00,91
2025-06-12 13:14:49.289982,73,1.00,91
2025-06-12 13:14:50.310090,74,1.00,91
2025-06-12 13:14:51.268791,74,1.00,91
2025-06-12 13:14:52.290740,75,1.00,91
2025-06-12 13:14:53.311122,75,1.00,91
2025-06-12 13:14:54.270885,75,1.00,91
2025-06-12 13:14:55.295881,75,1.00,91
2025-06-12 13:14:56.308766,76,1.00,91
2025-06-12 13:14:57.272463,76,1.00,91
2025-06-12 13:14:58.289447,76,1.00,91
2025-06-12 13:14:59.309130,76,1.00,91
2025-06-12 13:15:00.270646,76,1.00,91
2025-06-12 13:15:01.290550,76,1.00,91
2025-06-12 13:15:02.308819,76,1.00,91
2025-06-12 13:15:03.269158,76,1.00,91
2025-06-12 13:15:04.290717,76,1.00,91
2025-06-12 13:15:05.310918,75,1.00,91
2025-06-12 13:15:06.269426,75,1.00,91
2025-06-12 13:15:07.289417,76,1.00,91
2025-06-12 13:15:08.308800,76,1.00,91
2025-06-12 13:15:09.269163,76,1.00,91
2025-06-12 13:15:10.351524,76,1.00,91
2025-06-12 13:15:11.310269,76,1.00,91
2025-06-12 13:15:12.270079,76,1.00,91
2025-06-12 13:15:13.290282,77,1.00,91
