Timestamp,Role,Content,Start Time,End Time
2025-11-18 12:34:02.531296,User,いきます,2025-11-18 12:33:59.710735,2025-11-18 12:34:01.050623
2025-11-18 12:34:04.466595,Assistant,いってらっしゃい！何か用事があるの？,,
2025-11-18 12:34:15.986103,User,これに 答えたら いいんですか?,2025-11-18 12:34:11.300893,2025-11-18 12:34:13.980355
2025-11-18 12:34:20.183408,Assistant,はい、答えて大丈夫ですよ。何か気になることがありますか？,,
2025-11-18 12:34:40.215274,User,動画でご視聴いただきありがとうございます。,2025-11-18 12:34:27.560384,2025-11-18 12:34:28.899742
2025-11-18 12:34:44.578272,Assistant,動画を見てくれてありがとう！感想はどうだった？,,
2025-11-18 12:34:55.477977,User,動画見てないからわからないです,2025-11-18 12:34:50.492769,2025-11-18 12:34:53.752587
2025-11-18 12:34:59.350902,Assistant,そうなんだね。時間があるときに見てみるといいかもしれないね。,,
2025-11-18 12:35:25.558378,User,はい,2025-11-18 12:35:23.124498,2025-11-18 12:35:24.344426
2025-11-18 12:35:29.254945,Assistant,もし見たら、感想を聞かせてね。何をするにしても、楽しんでね！,,
