Timestamp,HR After TTS (BPM),Reference HR,HFB Enabled During TTS,HR Used for Adjustment (BPM),Applied Intonation Scale
2025-06-06 11:24:39.650036,68,85,Yes,70,1.000
2025-06-06 11:24:59.351400,77,85,Yes,68,0.000
2025-06-06 11:25:10.566021,71,85,Yes,77,0.200
2025-06-06 11:25:34.768377,72,85,Yes,71,0.000
2025-06-06 11:25:53.304963,74,85,Yes,72,0.000
2025-06-06 11:26:13.464748,98,85,Yes,74,0.000
2025-06-06 11:26:27.504490,89,85,Yes,98,2.000
2025-06-06 11:26:48.875496,88,85,Yes,89,1.400
2025-06-06 11:27:16.552210,93,85,Yes,88,1.300
2025-06-06 11:27:40.476040,89,85,Yes,93,1.800
2025-06-06 11:28:00.019028,78,85,Yes,89,1.400
2025-06-06 11:28:23.772998,92,85,Yes,78,0.300
2025-06-06 11:29:00.485644,75,85,Yes,92,1.700
2025-06-06 11:29:26.994961,74,85,Yes,75,0.000
2025-06-06 11:31:06.430947,74,85,Yes,74,0.000
2025-06-06 11:31:27.256001,73,85,Yes,74,0.000
