Timestamp,HR at Recording Start (BPM)
2025-06-06 11:24:40.499076,69
2025-06-06 11:24:45.248710,70
2025-06-06 11:24:59.955019,77
2025-06-06 11:25:17.013963,70
2025-06-06 11:25:40.488365,75
2025-06-06 11:25:55.618955,75
2025-06-06 11:26:14.123137,98
2025-06-06 11:26:31.214813,88
2025-06-06 11:26:49.374986,88
2025-06-06 11:27:17.241896,93
2025-06-06 11:27:40.917803,89
2025-06-06 11:28:00.549656,79
2025-06-06 11:28:33.634622,98
2025-06-06 11:28:37.628421,101
2025-06-06 11:29:07.266760,70
2025-06-06 11:29:44.756352,74
2025-06-06 11:29:51.321859,75
2025-06-06 11:30:40.919949,68
2025-06-06 11:30:49.476900,74
2025-06-06 11:31:07.527194,74
2025-06-06 11:31:29.481071,74
2025-06-06 11:31:36.075714,76
