Timestamp,Heart Rate (BPM),Prosody Level Applied,Reference HR
2025-11-18 15:11:16.863902,77,1.00,68
2025-11-18 15:11:17.853742,77,1.00,68
2025-11-18 15:11:18.843718,77,1.00,68
2025-11-18 15:11:19.833901,77,1.00,68
2025-11-18 15:11:20.854225,76,1.00,68
2025-11-18 15:11:21.844393,75,1.00,68
2025-11-18 15:11:22.833844,74,1.00,68
2025-11-18 15:11:23.853973,73,1.00,68
2025-11-18 15:11:24.843921,71,1.00,68
2025-11-18 15:11:25.864038,70,1.00,68
2025-11-18 15:11:26.854328,68,1.00,68
2025-11-18 15:11:27.878241,66,1.00,68
2025-11-18 15:11:28.846005,64,1.00,68
2025-11-18 15:11:29.853850,63,1.00,68
2025-11-18 15:11:30.845528,61,1.00,68
2025-11-18 15:11:31.867233,59,1.00,68
2025-11-18 15:11:32.855969,60,1.00,68
2025-11-18 15:11:33.846110,61,1.00,68
2025-11-18 15:11:34.836493,62,1.00,68
2025-11-18 15:11:35.855045,62,1.00,68
2025-11-18 15:11:36.876362,63,1.00,68
2025-11-18 15:11:37.865670,64,1.00,68
2025-11-18 15:11:38.891901,64,1.00,68
2025-11-18 15:11:39.853960,65,1.00,68
2025-11-18 15:11:40.872785,66,1.00,68
2025-11-18 15:11:41.952138,67,1.00,68
2025-11-18 15:11:42.853270,67,1.00,68
2025-11-18 15:11:43.934017,68,1.00,68
2025-11-18 15:11:44.892883,69,1.00,68
2025-11-18 15:11:45.854454,69,1.00,68
2025-11-18 15:11:46.873774,69,1.00,68
2025-11-18 15:11:47.893850,70,1.00,68
2025-11-18 15:11:48.853330,70,1.00,68
2025-11-18 15:11:49.873492,71,1.00,68
2025-11-18 15:11:50.893150,71,1.00,68
2025-11-18 15:11:51.914119,72,1.00,68
2025-11-18 15:11:52.872389,72,1.00,68
2025-11-18 15:11:53.833772,73,1.00,68
2025-11-18 15:11:54.853561,73,1.00,68
2025-11-18 15:11:55.872376,73,1.00,68
2025-11-18 15:11:56.831361,73,1.00,68
2025-11-18 15:11:57.854074,73,1.00,68
2025-11-18 15:11:58.931139,73,1.00,68
2025-11-18 15:11:59.834384,73,1.00,68
2025-11-18 15:12:00.912926,74,1.00,68
2025-11-18 15:12:01.874626,74,1.00,68
2025-11-18 15:12:02.832150,74,1.00,68
2025-11-18 15:12:03.852483,73,1.00,68
2025-11-18 15:12:04.872232,73,1.00,68
2025-11-18 15:12:05.832583,73,1.00,68
2025-11-18 15:12:06.854072,73,1.00,68
2025-11-18 15:12:07.933211,73,1.00,68
2025-11-18 15:12:08.893461,73,1.00,68
2025-11-18 15:12:09.914615,73,1.00,68
2025-11-18 15:12:10.883185,74,1.00,68
2025-11-18 15:12:11.833205,74,1.00,68
2025-11-18 15:12:12.853482,73,1.00,68
2025-11-18 15:12:13.872123,73,1.00,68
2025-11-18 15:12:14.834906,73,1.00,68
2025-11-18 15:12:15.854170,73,1.00,68
2025-11-18 15:12:16.873708,73,1.00,68
2025-11-18 15:12:17.833836,73,1.00,68
2025-11-18 15:12:18.855110,73,1.00,68
2025-11-18 15:12:19.933645,73,1.00,68
2025-11-18 15:12:20.832470,73,1.00,68
2025-11-18 15:12:21.854796,74,1.00,68
2025-11-18 15:12:22.871875,73,1.00,68
2025-11-18 15:12:23.832679,73,1.00,68
2025-11-18 15:12:24.853146,73,1.00,68
2025-11-18 15:12:25.872334,72,1.00,68
2025-11-18 15:12:26.835549,72,1.00,68
2025-11-18 15:12:27.854561,72,1.00,68
2025-11-18 15:12:28.875453,72,1.00,68
2025-11-18 15:12:29.834220,72,1.00,68
2025-11-18 15:12:30.853312,72,1.00,68
2025-11-18 15:12:31.874653,72,1.00,68
2025-11-18 15:12:32.833341,71,1.00,68
2025-11-18 15:12:33.853272,70,1.00,68
2025-11-18 15:12:34.873037,70,1.00,68
2025-11-18 15:12:35.833169,69,1.00,68
2025-11-18 15:12:36.853091,69,1.00,68
2025-11-18 15:12:37.872812,70,1.00,68
2025-11-18 15:12:38.835677,70,1.00,68
2025-11-18 15:12:39.853334,70,1.00,68
2025-11-18 15:12:40.678152,70,1.00,68
2025-11-18 15:12:40.931968,70,1.00,68
2025-11-18 15:12:41.833488,70,1.00,68
2025-11-18 15:12:42.914357,71,1.00,68
2025-11-18 15:12:43.873739,71,1.00,68
2025-11-18 15:12:44.833740,72,1.00,68
2025-11-18 15:12:45.853858,72,1.00,68
2025-11-18 15:12:46.873162,72,1.00,68
2025-11-18 15:12:47.835263,72,1.00,68
2025-11-18 15:12:48.852075,71,1.00,68
2025-11-18 15:12:49.871828,71,1.00,68
2025-11-18 15:12:50.891598,70,1.00,68
2025-11-18 15:12:51.852451,68,1.00,68
2025-11-18 15:12:52.662351,68,1.00,68
2025-11-18 15:12:52.871724,67,1.00,68
2025-11-18 15:12:53.834472,66,1.00,68
2025-11-18 15:12:54.851983,64,1.00,68
2025-11-18 15:12:55.873427,63,1.00,68
2025-11-18 15:12:56.831534,63,1.00,68
2025-11-18 15:12:57.852749,63,1.00,68
2025-11-18 15:12:58.873305,63,1.00,68
2025-11-18 15:12:59.891847,63,1.00,68
2025-11-18 15:13:00.851768,63,1.00,68
2025-11-18 15:13:01.873225,64,1.00,68
2025-11-18 15:13:02.831762,64,1.00,68
2025-11-18 15:13:03.854771,63,1.00,68
2025-11-18 15:13:04.409974,63,1.00,68
2025-11-18 15:13:04.873683,63,1.00,68
2025-11-18 15:13:05.833379,62,1.00,68
2025-11-18 15:13:06.913097,61,1.00,68
2025-11-18 15:13:07.874133,61,1.00,68
2025-11-18 15:13:08.834075,60,1.00,68
2025-11-18 15:13:09.853967,59,1.00,68
2025-11-18 15:13:10.873560,59,1.00,68
2025-11-18 15:13:11.835026,58,1.00,68
2025-11-18 15:13:12.915303,57,1.00,68
2025-11-18 15:13:13.933895,56,1.00,68
2025-11-18 15:13:14.833456,56,1.00,68
2025-11-18 15:13:15.853183,56,1.00,68
2025-11-18 15:13:16.873224,56,1.00,68
2025-11-18 15:13:17.115376,56,1.00,68
2025-11-18 15:13:17.833471,56,1.00,68
2025-11-18 15:13:18.914737,57,1.00,68
2025-11-18 15:13:19.873863,57,1.00,68
2025-11-18 15:13:20.833488,58,1.00,68
2025-11-18 15:13:21.852289,57,1.00,68
2025-11-18 15:13:22.871841,57,1.00,68
2025-11-18 15:13:23.833404,57,1.00,68
2025-11-18 15:13:24.852874,56,1.00,68
2025-11-18 15:13:25.874751,56,1.00,68
2025-11-18 15:13:26.834082,56,1.00,68
2025-11-18 15:13:27.854465,56,1.00,68
2025-11-18 15:13:28.874711,57,1.00,68
2025-11-18 15:13:29.835140,57,1.00,68
2025-11-18 15:13:30.913601,57,1.00,68
2025-11-18 15:13:31.874447,57,1.00,68
2025-11-18 15:13:32.893878,57,1.00,68
2025-11-18 15:13:33.854567,57,1.00,68
2025-11-18 15:13:34.874365,58,1.00,68
2025-11-18 15:13:35.834002,58,1.00,68
2025-11-18 15:13:36.853160,59,1.00,68
2025-11-18 15:13:37.873345,59,1.00,68
2025-11-18 15:13:38.832993,60,1.00,68
2025-11-18 15:13:39.853666,61,1.00,68
2025-11-18 15:13:40.932508,61,1.00,68
2025-11-18 15:13:41.893406,61,1.00,68
2025-11-18 15:13:42.854465,61,1.00,68
2025-11-18 15:13:43.873194,62,1.00,68
2025-11-18 15:13:44.834725,62,1.00,68
2025-11-18 15:13:44.955682,62,1.00,68
2025-11-18 15:13:45.853712,62,1.00,68
2025-11-18 15:13:46.934876,61,1.00,68
2025-11-18 15:13:47.834710,61,1.00,68
2025-11-18 15:13:48.854783,61,1.00,68
2025-11-18 15:13:49.874895,62,1.00,68
2025-11-18 15:13:50.833771,62,1.00,68
2025-11-18 15:13:51.917444,63,1.00,68
2025-11-18 15:13:52.874009,64,1.00,68
2025-11-18 15:13:53.833298,64,1.00,68
2025-11-18 15:13:54.859973,65,1.00,68
2025-11-18 15:13:55.873939,66,1.00,68
2025-11-18 15:13:56.832962,66,1.00,68
2025-11-18 15:13:57.855321,66,1.00,68
2025-11-18 15:13:58.244829,66,1.00,68
2025-11-18 15:13:58.874129,67,1.00,68
2025-11-18 15:13:59.893791,67,1.00,68
2025-11-18 15:14:00.853301,67,1.00,68
2025-11-18 15:14:01.874343,66,1.00,68
2025-11-18 15:14:02.834551,66,1.00,68
2025-11-18 15:14:03.854168,65,1.00,68
2025-11-18 15:14:04.872984,64,1.00,68
2025-11-18 15:14:05.895150,64,1.00,68
2025-11-18 15:14:06.855237,63,1.00,68
2025-11-18 15:14:07.872725,63,1.00,68
2025-11-18 15:14:08.834312,63,1.00,68
2025-11-18 15:14:09.854999,63,1.00,68
2025-11-18 15:14:10.873276,64,1.00,68
2025-11-18 15:14:11.833663,64,1.00,68
2025-11-18 15:14:12.853018,65,1.00,68
2025-11-18 15:14:13.755885,65,1.00,68
2025-11-18 15:14:13.872316,66,1.00,68
2025-11-18 15:14:14.834234,67,1.00,68
2025-11-18 15:14:15.854591,67,1.00,68
2025-11-18 15:14:16.874651,67,1.00,68
2025-11-18 15:14:17.893083,67,1.00,68
