Timestamp,Heart Rate (BPM)
2025-06-06 11:24:34.395165,69
2025-06-06 11:24:35.354692,68
2025-06-06 11:24:36.376188,67
2025-06-06 11:24:37.457726,67
2025-06-06 11:24:38.354938,67
2025-06-06 11:24:39.375212,68
2025-06-06 11:24:40.396958,69
2025-06-06 11:24:41.356744,69
2025-06-06 11:24:42.393329,69
2025-06-06 11:24:43.395653,70
2025-06-06 11:24:44.355523,70
2025-06-06 11:24:45.434363,70
2025-06-06 11:24:46.394130,70
2025-06-06 11:24:47.355813,71
2025-06-06 11:24:48.377844,71
2025-06-06 11:24:49.394558,70
2025-06-06 11:24:50.354812,71
2025-06-06 11:24:51.380107,72
2025-06-06 11:24:52.396895,73
2025-06-06 11:24:53.354450,74
2025-06-06 11:24:54.375460,75
2025-06-06 11:24:55.395734,77
2025-06-06 11:24:56.417190,77
2025-06-06 11:24:57.377540,77
2025-06-06 11:24:58.395674,77
2025-06-06 11:24:59.355936,77
2025-06-06 11:25:00.374882,77
2025-06-06 11:25:01.394558,76
2025-06-06 11:25:02.354769,75
2025-06-06 11:25:03.435702,74
2025-06-06 11:25:04.457553,74
2025-06-06 11:25:05.355243,73
2025-06-06 11:25:06.374327,72
2025-06-06 11:25:07.457393,71
2025-06-06 11:25:08.356725,71
2025-06-06 11:25:09.375776,71
2025-06-06 11:25:10.409510,71
2025-06-06 11:25:11.356122,71
2025-06-06 11:25:12.376982,71
2025-06-06 11:25:13.395576,71
2025-06-06 11:25:14.416280,70
2025-06-06 11:25:15.375617,70
2025-06-06 11:25:16.395853,70
2025-06-06 11:25:17.357697,69
2025-06-06 11:25:18.375743,69
2025-06-06 11:25:19.394586,68
2025-06-06 11:25:20.355157,69
2025-06-06 11:25:21.378313,69
2025-06-06 11:25:22.396209,70
2025-06-06 11:25:23.417943,70
2025-06-06 11:25:24.379284,70
2025-06-06 11:25:25.395661,70
2025-06-06 11:25:26.354790,70
2025-06-06 11:25:27.374726,69
2025-06-06 11:25:28.463274,70
2025-06-06 11:25:29.416286,71
2025-06-06 11:25:30.381136,72
2025-06-06 11:25:31.395418,72
2025-06-06 11:25:32.357891,72
2025-06-06 11:25:33.375902,72
2025-06-06 11:25:34.395431,72
2025-06-06 11:25:35.355651,72
2025-06-06 11:25:36.435981,72
2025-06-06 11:25:37.395760,72
2025-06-06 11:25:38.358646,73
2025-06-06 11:25:39.375441,74
2025-06-06 11:25:40.457722,75
2025-06-06 11:25:41.356159,74
2025-06-06 11:25:42.374553,73
2025-06-06 11:25:43.454885,73
2025-06-06 11:25:44.357267,73
2025-06-06 11:25:45.376074,72
2025-06-06 11:25:46.395745,73
2025-06-06 11:25:47.415022,73
2025-06-06 11:25:48.378804,73
2025-06-06 11:25:49.396391,73
2025-06-06 11:25:50.355538,74
2025-06-06 11:25:51.375964,74
2025-06-06 11:25:52.395753,74
2025-06-06 11:25:53.418583,74
2025-06-06 11:25:54.376213,75
2025-06-06 11:25:55.396838,75
2025-06-06 11:25:56.356269,76
2025-06-06 11:25:57.376232,78
2025-06-06 11:25:58.395875,79
2025-06-06 11:25:59.355659,79
2025-06-06 11:26:00.382517,80
2025-06-06 11:26:01.454990,80
2025-06-06 11:26:02.355265,82
2025-06-06 11:26:03.375827,83
2025-06-06 11:26:04.397461,84
2025-06-06 11:26:05.357157,86
2025-06-06 11:26:06.376083,87
2025-06-06 11:26:07.397939,88
2025-06-06 11:26:08.355264,90
2025-06-06 11:26:09.436558,91
2025-06-06 11:26:10.396247,93
2025-06-06 11:26:11.356938,95
2025-06-06 11:26:12.378421,96
2025-06-06 11:26:13.398603,98
2025-06-06 11:26:14.358464,99
2025-06-06 11:26:15.375409,100
2025-06-06 11:26:16.396723,99
2025-06-06 11:26:17.355416,99
2025-06-06 11:26:18.375134,98
2025-06-06 11:26:19.396785,96
2025-06-06 11:26:20.415855,96
2025-06-06 11:26:21.376019,96
2025-06-06 11:26:22.396400,94
2025-06-06 11:26:23.356231,92
2025-06-06 11:26:24.381016,90
2025-06-06 11:26:25.455189,89
2025-06-06 11:26:26.355659,89
2025-06-06 11:26:27.379196,89
2025-06-06 11:26:28.395783,89
2025-06-06 11:26:29.356437,89
2025-06-06 11:26:30.377001,88
2025-06-06 11:26:31.395554,86
2025-06-06 11:26:32.418510,84
2025-06-06 11:26:33.376446,84
2025-06-06 11:26:34.395562,84
2025-06-06 11:26:35.355668,84
2025-06-06 11:26:36.376121,85
2025-06-06 11:26:37.456197,86
2025-06-06 11:26:38.355442,86
2025-06-06 11:26:39.376694,86
2025-06-06 11:26:40.397207,85
2025-06-06 11:26:41.355858,84
2025-06-06 11:26:42.436058,83
2025-06-06 11:26:43.398380,84
2025-06-06 11:26:44.416763,84
2025-06-06 11:26:45.377261,84
2025-06-06 11:26:46.339110,85
2025-06-06 11:26:47.358127,87
2025-06-06 11:26:48.376862,88
2025-06-06 11:26:49.336448,88
2025-06-06 11:26:50.356353,88
2025-06-06 11:26:51.379654,87
2025-06-06 11:26:52.400774,86
2025-06-06 11:26:53.356989,85
2025-06-06 11:26:54.378549,84
2025-06-06 11:26:55.336725,83
2025-06-06 11:26:56.356623,83
2025-06-06 11:26:57.377049,83
2025-06-06 11:26:58.336403,84
2025-06-06 11:26:59.357442,85
2025-06-06 11:27:00.436595,86
2025-06-06 11:27:01.395892,86
2025-06-06 11:27:02.356132,87
2025-06-06 11:27:03.376124,87
2025-06-06 11:27:04.337848,88
2025-06-06 11:27:05.357089,90
2025-06-06 11:27:06.376148,91
2025-06-06 11:27:07.336143,92
2025-06-06 11:27:08.536616,91
2025-06-06 11:27:09.377822,89
2025-06-06 11:27:10.337849,88
2025-06-06 11:27:11.357344,88
2025-06-06 11:27:12.377871,89
2025-06-06 11:27:13.337453,90
2025-06-06 11:27:14.357753,91
2025-06-06 11:27:15.437536,93
2025-06-06 11:27:16.338750,93
2025-06-06 11:27:17.357005,94
2025-06-06 11:27:18.377676,93
2025-06-06 11:27:19.337984,92
2025-06-06 11:27:20.357161,91
2025-06-06 11:27:21.378302,90
2025-06-06 11:27:22.337145,90
2025-06-06 11:27:23.357606,90
2025-06-06 11:27:24.436343,91
2025-06-06 11:27:25.337918,92
2025-06-06 11:27:26.357795,93
2025-06-06 11:27:27.378865,95
2025-06-06 11:27:28.343994,96
2025-06-06 11:27:29.358399,97
2025-06-06 11:27:30.379547,97
2025-06-06 11:27:31.338538,97
2025-06-06 11:27:32.418374,95
2025-06-06 11:27:33.377100,92
2025-06-06 11:27:34.397321,91
2025-06-06 11:27:35.357881,91
2025-06-06 11:27:36.377144,90
2025-06-06 11:27:37.337460,90
2025-06-06 11:27:38.358376,90
2025-06-06 11:27:39.377488,90
2025-06-06 11:27:40.337363,89
2025-06-06 11:27:41.417802,88
2025-06-06 11:27:42.383408,86
2025-06-06 11:27:43.341236,84
2025-06-06 11:27:44.357676,83
2025-06-06 11:27:45.378584,81
2025-06-06 11:27:46.338133,81
2025-06-06 11:27:47.359461,81
2025-06-06 11:27:48.437755,82
2025-06-06 11:27:49.337140,84
2025-06-06 11:27:50.357771,84
2025-06-06 11:27:51.378009,84
2025-06-06 11:27:52.337871,84
2025-06-06 11:27:53.358930,84
2025-06-06 11:27:54.377427,84
2025-06-06 11:27:55.338000,83
2025-06-06 11:27:56.359625,82
2025-06-06 11:27:57.378384,81
2025-06-06 11:27:58.396977,79
2025-06-06 11:27:59.358998,78
2025-06-06 11:28:00.376848,79
2025-06-06 11:28:01.337342,79
2025-06-06 11:28:02.358484,80
2025-06-06 11:28:03.437497,80
2025-06-06 11:28:04.338196,81
2025-06-06 11:28:05.359308,81
2025-06-06 11:28:06.378648,81
2025-06-06 11:28:07.398241,82
2025-06-06 11:28:08.357442,83
2025-06-06 11:28:09.378840,83
2025-06-06 11:28:10.399179,84
2025-06-06 11:28:11.358164,86
2025-06-06 11:28:12.377556,86
2025-06-06 11:28:13.339995,86
2025-06-06 11:28:14.417037,86
2025-06-06 11:28:15.378143,86
2025-06-06 11:28:16.340303,86
2025-06-06 11:28:17.360217,86
2025-06-06 11:28:18.378600,87
2025-06-06 11:28:19.340552,89
2025-06-06 11:28:20.360232,89
2025-06-06 11:28:21.378224,89
2025-06-06 11:28:22.340024,90
2025-06-06 11:28:23.361751,92
2025-06-06 11:28:24.377881,93
2025-06-06 11:28:25.343641,93
2025-06-06 11:28:26.364269,94
2025-06-06 11:28:27.378966,95
2025-06-06 11:28:28.337571,96
2025-06-06 11:28:29.358979,97
2025-06-06 11:28:30.379462,97
2025-06-06 11:28:31.340060,96
2025-06-06 11:28:32.376393,97
2025-06-06 11:28:33.381746,98
2025-06-06 11:28:34.343146,98
2025-06-06 11:28:35.357079,100
2025-06-06 11:28:36.378931,101
2025-06-06 11:28:37.338823,101
2025-06-06 11:28:38.418690,101
2025-06-06 11:28:39.378650,102
2025-06-06 11:28:40.398331,101
2025-06-06 11:28:41.357397,101
2025-06-06 11:28:42.437445,100
2025-06-06 11:28:43.398102,100
2025-06-06 11:28:44.358769,99
2025-06-06 11:28:45.378760,98
2025-06-06 11:28:46.337842,96
2025-06-06 11:28:47.358813,93
2025-06-06 11:28:48.379255,92
2025-06-06 11:28:49.338490,92
2025-06-06 11:28:50.420548,90
2025-06-06 11:28:51.379159,86
2025-06-06 11:28:52.519353,84
2025-06-06 11:28:53.359396,84
2025-06-06 11:28:54.379573,82
2025-06-06 11:28:55.339154,81
2025-06-06 11:28:56.358826,79
2025-06-06 11:28:57.378612,78
2025-06-06 11:28:58.473790,77
2025-06-06 11:28:59.360431,77
2025-06-06 11:29:00.379754,75
2025-06-06 11:29:01.338795,74
2025-06-06 11:29:02.359279,73
2025-06-06 11:29:03.380825,71
2025-06-06 11:29:04.340380,71
2025-06-06 11:29:05.359163,70
2025-06-06 11:29:06.379538,70
2025-06-06 11:29:07.338472,70
2025-06-06 11:29:08.360144,70
2025-06-06 11:29:09.378436,69
2025-06-06 11:29:10.341904,69
2025-06-06 11:29:11.417796,69
2025-06-06 11:29:12.379256,68
2025-06-06 11:29:13.340061,67
2025-06-06 11:29:14.360454,67
2025-06-06 11:29:15.378555,67
2025-06-06 11:29:16.338283,68
2025-06-06 11:29:17.357993,69
2025-06-06 11:29:18.382122,70
2025-06-06 11:29:19.339697,71
2025-06-06 11:29:20.359225,71
2025-06-06 11:29:21.378728,72
2025-06-06 11:29:22.339541,72
2025-06-06 11:29:23.359924,72
2025-06-06 11:29:24.379674,72
2025-06-06 11:29:25.339608,73
2025-06-06 11:29:26.359167,74
2025-06-06 11:29:27.378349,74
2025-06-06 11:29:28.338692,75
2025-06-06 11:29:29.359222,76
2025-06-06 11:29:30.380794,77
2025-06-06 11:29:31.339501,78
2025-06-06 11:29:32.358261,80
2025-06-06 11:29:33.440029,81
2025-06-06 11:29:34.338579,82
2025-06-06 11:29:35.358659,83
2025-06-06 11:29:36.379208,82
2025-06-06 11:29:37.339812,79
2025-06-06 11:29:38.358888,78
2025-06-06 11:29:39.379137,78
2025-06-06 11:29:40.402477,77
2025-06-06 11:29:41.359064,76
2025-06-06 11:29:42.380785,75
2025-06-06 11:29:43.339284,75
2025-06-06 11:29:44.418820,74
2025-06-06 11:29:45.378656,74
2025-06-06 11:29:46.338309,74
2025-06-06 11:29:47.359644,74
2025-06-06 11:29:48.378954,74
2025-06-06 11:29:49.338959,75
2025-06-06 11:29:50.358868,75
2025-06-06 11:29:51.378640,75
2025-06-06 11:29:52.339599,76
2025-06-06 11:29:53.359308,77
2025-06-06 11:29:54.440798,76
2025-06-06 11:29:55.338905,76
2025-06-06 11:29:56.358497,75
2025-06-06 11:29:57.379522,74
2025-06-06 11:29:58.340035,73
2025-06-06 11:29:59.358851,73
2025-06-06 11:30:00.380035,73
2025-06-06 11:30:01.341505,73
2025-06-06 11:30:02.359418,73
2025-06-06 11:30:03.379218,74
2025-06-06 11:30:04.339704,75
2025-06-06 11:30:05.359860,75
2025-06-06 11:30:06.379182,75
2025-06-06 11:30:07.339510,75
2025-06-06 11:30:08.360110,75
2025-06-06 11:30:09.379500,75
2025-06-06 11:30:10.339520,75
2025-06-06 11:30:11.358632,77
2025-06-06 11:30:12.379059,78
2025-06-06 11:30:13.341383,78
2025-06-06 11:30:14.358723,80
2025-06-06 11:30:15.379369,84
2025-06-06 11:30:16.340036,85
2025-06-06 11:30:17.419583,85
2025-06-06 11:30:18.379691,84
2025-06-06 11:30:19.342768,84
2025-06-06 11:30:20.359468,82
2025-06-06 11:30:21.439577,81
2025-06-06 11:30:22.340026,80
2025-06-06 11:30:23.419557,78
2025-06-06 11:30:24.380262,77
2025-06-06 11:30:25.339572,76
2025-06-06 11:30:26.360192,75
2025-06-06 11:30:27.439461,72
2025-06-06 11:30:28.340187,71
2025-06-06 11:30:29.359910,71
2025-06-06 11:30:30.380249,70
2025-06-06 11:30:31.341368,70
2025-06-06 11:30:32.360077,70
2025-06-06 11:30:33.440853,70
2025-06-06 11:30:34.340059,71
2025-06-06 11:30:35.360059,71
2025-06-06 11:30:36.381102,71
2025-06-06 11:30:37.340478,71
2025-06-06 11:30:38.420541,71
2025-06-06 11:30:39.322159,69
2025-06-06 11:30:40.401428,68
2025-06-06 11:30:41.361024,68
2025-06-06 11:30:42.319580,67
2025-06-06 11:30:43.340011,67
2025-06-06 11:30:44.359443,67
2025-06-06 11:30:45.319977,67
2025-06-06 11:30:46.349894,69
2025-06-06 11:30:47.360949,70
2025-06-06 11:30:48.321373,72
2025-06-06 11:30:49.339766,74
2025-06-06 11:30:50.421657,76
2025-06-06 11:30:51.321588,78
2025-06-06 11:30:52.339204,79
2025-06-06 11:30:53.359373,81
2025-06-06 11:30:54.321105,80
2025-06-06 11:30:55.340840,79
2025-06-06 11:30:56.360336,78
2025-06-06 11:30:57.320353,78
2025-06-06 11:30:58.339693,78
2025-06-06 11:30:59.361021,79
2025-06-06 11:31:00.322291,79
2025-06-06 11:31:01.401320,79
2025-06-06 11:31:02.479335,78
2025-06-06 11:31:03.380951,78
2025-06-06 11:31:04.341135,77
2025-06-06 11:31:05.361438,76
2025-06-06 11:31:06.321174,74
2025-06-06 11:31:07.340650,74
2025-06-06 11:31:08.361083,74
2025-06-06 11:31:09.381639,74
2025-06-06 11:31:10.344596,75
2025-06-06 11:31:11.359692,76
2025-06-06 11:31:12.322354,77
2025-06-06 11:31:13.341935,77
2025-06-06 11:31:14.360854,77
2025-06-06 11:31:15.319991,77
2025-06-06 11:31:16.340390,76
2025-06-06 11:31:17.420145,77
2025-06-06 11:31:18.382105,77
2025-06-06 11:31:19.340478,77
2025-06-06 11:31:20.361634,77
2025-06-06 11:31:21.320936,77
2025-06-06 11:31:22.340950,76
2025-06-06 11:31:23.423034,75
2025-06-06 11:31:24.323273,74
2025-06-06 11:31:25.340406,73
2025-06-06 11:31:26.359880,73
2025-06-06 11:31:27.381338,73
2025-06-06 11:31:28.339917,74
2025-06-06 11:31:29.360629,74
2025-06-06 11:31:30.321641,74
2025-06-06 11:31:31.341530,74
2025-06-06 11:31:32.422408,74
2025-06-06 11:31:33.321928,74
2025-06-06 11:31:34.341122,75
2025-06-06 11:31:35.361015,76
2025-06-06 11:31:36.322261,76
2025-06-06 11:31:37.347251,76
2025-06-06 11:31:38.421287,75
2025-06-06 11:31:39.321479,75
2025-06-06 11:31:40.400865,75
2025-06-06 11:31:41.364169,76
2025-06-06 11:31:42.381476,77
2025-06-06 11:31:43.340588,77
2025-06-06 11:31:44.360720,78
2025-06-06 11:31:45.322187,80
2025-06-06 11:31:46.343179,80
2025-06-06 11:31:47.361525,81
2025-06-06 11:31:48.321514,80
2025-06-06 11:31:49.341614,78
2025-06-06 11:31:50.361658,77
