Timestamp,HR After TTS (BPM),Reference HR,HFB Enabled During TTS,HR Used for Adjustment (BPM),Applied Intonation Scale
2025-06-26 14:14:18.787881,81,72,Yes,N/A,1.000
2025-06-26 14:14:31.627748,84,72,Yes,N/A,1.100
2025-06-26 14:14:48.827430,83,72,Yes,N/A,1.200
2025-06-26 14:15:05.779138,80,72,Yes,N/A,1.300
2025-06-26 14:15:37.045518,78,72,Yes,N/A,1.400
2025-06-26 14:16:18.302458,82,72,Yes,N/A,1.500
2025-06-26 14:16:46.738606,78,72,Yes,N/A,1.600
2025-06-26 14:17:23.294458,77,72,Yes,N/A,1.700
2025-06-26 14:18:07.786141,80,72,Yes,N/A,1.800
2025-06-26 14:19:12.349460,80,72,Yes,N/A,1.900
2025-06-26 14:20:21.054701,81,72,Yes,N/A,2.000
2025-06-26 14:21:29.752142,81,72,Yes,N/A,1.900
2025-06-26 14:22:23.626983,82,72,Yes,N/A,1.800
2025-06-26 14:23:22.392925,80,72,Yes,N/A,1.700
2025-06-26 14:24:04.387675,82,72,Yes,N/A,1.600
