Timestamp,HR at Recording Start (BPM)
2025-06-26 14:14:20.530242,82
2025-06-26 14:14:31.916872,83
2025-06-26 14:14:49.138210,84
2025-06-26 14:15:06.962450,79
2025-06-26 14:15:38.232473,79
2025-06-26 14:16:20.167633,82
2025-06-26 14:16:47.547833,79
2025-06-26 14:17:25.689596,78
2025-06-26 14:18:08.590836,81
2025-06-26 14:19:14.602469,82
2025-06-26 14:20:21.911992,82
2025-06-26 14:21:30.459128,80
2025-06-26 14:22:25.560485,81
2025-06-26 14:23:22.743937,80
2025-06-26 14:24:05.126220,83
