Timestamp,Heart Rate (BPM),Prosody Level Applied,Reference HR
2025-06-26 14:07:10.832486,78,1.00,80
2025-06-26 14:07:11.823169,78,1.00,80
2025-06-26 14:07:12.811789,82,1.00,80
2025-06-26 14:07:13.833343,85,1.00,80
2025-06-26 14:07:14.821512,88,1.00,80
2025-06-26 14:07:15.813460,90,1.00,80
2025-06-26 14:07:16.862859,91,1.00,80
2025-06-26 14:07:17.822044,92,1.00,80
2025-06-26 14:07:18.843409,92,1.00,80
2025-06-26 14:07:19.833335,92,1.00,80
2025-06-26 14:07:20.822451,92,1.00,80
2025-06-26 14:07:21.812323,91,1.00,80
2025-06-26 14:07:22.834058,91,1.00,80
2025-06-26 14:07:23.821983,91,1.00,80
2025-06-26 14:07:24.813264,91,1.00,80
2025-06-26 14:07:25.865295,91,1.00,80
2025-06-26 14:07:26.823272,90,1.00,80
2025-06-26 14:07:27.841991,90,1.00,80
2025-06-26 14:07:28.833038,89,1.00,80
2025-06-26 14:07:29.852747,88,1.00,80
2025-06-26 14:07:30.813441,88,1.00,80
2025-06-26 14:07:31.878255,88,1.00,80
2025-06-26 14:07:32.836787,87,1.00,80
2025-06-26 14:07:33.857164,87,1.00,80
2025-06-26 14:07:34.817314,86,1.00,80
2025-06-26 14:07:35.838172,86,1.00,80
2025-06-26 14:07:36.916647,86,1.00,80
2025-06-26 14:07:37.819550,86,1.00,80
2025-06-26 14:07:38.838329,86,1.00,80
2025-06-26 14:07:39.858089,86,1.00,80
2025-06-26 14:07:40.878994,85,1.00,80
2025-06-26 14:07:41.837633,84,1.00,80
2025-06-26 14:07:42.858764,83,1.00,80
2025-06-26 14:07:43.818084,83,1.00,80
2025-06-26 14:07:44.838901,81,1.00,80
2025-06-26 14:07:45.860020,79,1.00,80
2025-06-26 14:07:46.817092,77,1.00,80
2025-06-26 14:07:47.896168,76,1.00,80
2025-06-26 14:07:48.857000,75,1.00,80
2025-06-26 14:07:49.816889,74,1.00,80
2025-06-26 14:07:50.837905,73,1.00,80
2025-06-26 14:07:51.856873,72,1.00,80
2025-06-26 14:07:52.823125,71,1.00,80
2025-06-26 14:07:53.840022,70,1.00,80
2025-06-26 14:07:54.917266,69,1.00,80
2025-06-26 14:07:55.819182,68,1.00,80
2025-06-26 14:07:56.897498,69,1.00,80
2025-06-26 14:07:57.857864,69,1.00,80
2025-06-26 14:07:58.877990,69,1.00,80
2025-06-26 14:07:59.843646,70,1.00,80
2025-06-26 14:08:00.857949,70,1.00,80
2025-06-26 14:08:01.817350,70,1.00,80
2025-06-26 14:08:02.838321,70,1.00,80
2025-06-26 14:08:03.857518,70,1.00,80
2025-06-26 14:08:04.818046,70,1.00,80
2025-06-26 14:08:05.838169,70,1.00,80
2025-06-26 14:08:06.918916,69,1.00,80
2025-06-26 14:08:07.816865,69,1.00,80
2025-06-26 14:08:08.897924,69,1.00,80
2025-06-26 14:08:09.858096,70,1.00,80
2025-06-26 14:08:10.939110,70,1.00,80
2025-06-26 14:08:11.839734,70,1.00,80
2025-06-26 14:08:12.860184,70,1.00,80
2025-06-26 14:08:13.825994,70,1.00,80
2025-06-26 14:08:14.847055,70,1.00,80
