Timestamp,Heart Rate (BPM),Prosody Level Applied,Reference HR
2025-11-18 15:15:38.826859,63,1.00,68
2025-11-18 15:15:39.847792,63,1.00,68
2025-11-18 15:15:40.837681,63,1.00,68
2025-11-18 15:15:41.828211,62,1.00,68
2025-11-18 15:15:42.848502,63,1.00,68
2025-11-18 15:15:43.836868,63,1.00,68
2025-11-18 15:15:44.829842,64,1.00,68
2025-11-18 15:15:45.846517,65,1.00,68
2025-11-18 15:15:46.836835,66,1.00,68
2025-11-18 15:15:47.831191,67,1.00,68
2025-11-18 15:15:48.848005,68,1.00,68
2025-11-18 15:15:49.836977,69,1.00,68
2025-11-18 15:15:50.857426,69,1.00,68
2025-11-18 15:15:51.848690,69,1.00,68
2025-11-18 15:15:52.869273,68,1.00,68
2025-11-18 15:15:53.828183,67,1.00,68
2025-11-18 15:15:54.848591,66,1.00,68
2025-11-18 15:15:55.839900,65,1.00,68
2025-11-18 15:15:56.826297,65,1.00,68
2025-11-18 15:15:57.847267,64,1.00,68
2025-11-18 15:15:58.897111,64,1.00,68
2025-11-18 15:15:59.828068,64,1.00,68
2025-11-18 15:16:00.877552,64,1.00,68
2025-11-18 15:16:01.836149,64,1.00,68
2025-11-18 15:16:02.828276,65,1.00,68
2025-11-18 15:16:03.847684,65,1.00,68
2025-11-18 15:16:04.836311,65,1.00,68
2025-11-18 15:16:05.827330,65,1.00,68
2025-11-18 15:16:06.847623,65,1.00,68
2025-11-18 15:16:07.838611,65,1.00,68
2025-11-18 15:16:08.831207,65,1.00,68
2025-11-18 15:16:09.877904,65,1.00,68
2025-11-18 15:16:10.837381,65,1.00,68
2025-11-18 15:16:11.869666,65,1.00,68
2025-11-18 15:16:12.847563,65,1.00,68
2025-11-18 15:16:13.836298,64,1.00,68
2025-11-18 15:16:14.826100,65,1.00,68
2025-11-18 15:16:15.846543,65,1.00,68
2025-11-18 15:16:16.836464,65,1.00,68
2025-11-18 15:16:17.826124,65,1.00,68
2025-11-18 15:16:18.877018,66,1.00,68
2025-11-18 15:16:19.836369,66,1.00,68
2025-11-18 15:16:20.856659,67,1.00,68
2025-11-18 15:16:21.817830,68,1.00,68
2025-11-18 15:16:22.836758,68,1.00,68
2025-11-18 15:16:23.826337,69,1.00,68
2025-11-18 15:16:24.819167,68,1.00,68
2025-11-18 15:16:25.836284,68,1.00,68
2025-11-18 15:16:26.856628,68,1.00,68
2025-11-18 15:16:27.816553,67,1.00,68
2025-11-18 15:16:28.838018,67,1.00,68
2025-11-18 15:16:29.828668,66,1.00,68
2025-11-18 15:16:30.816959,66,1.00,68
2025-11-18 15:16:31.838096,65,1.00,68
2025-11-18 15:16:32.828267,65,1.00,68
2025-11-18 15:16:33.818738,65,1.00,68
2025-11-18 15:16:34.838631,65,1.00,68
2025-11-18 15:16:35.857311,65,1.00,68
2025-11-18 15:16:36.818421,65,1.00,68
2025-11-18 15:16:37.866604,66,1.00,68
2025-11-18 15:16:38.828049,66,1.00,68
2025-11-18 15:16:39.847986,66,1.00,68
2025-11-18 15:16:40.839639,66,1.00,68
2025-11-18 15:16:41.829120,66,1.00,68
2025-11-18 15:16:42.818195,66,1.00,68
2025-11-18 15:16:43.838062,66,1.00,68
2025-11-18 15:16:44.858581,67,1.00,68
2025-11-18 15:16:45.820028,68,1.00,68
2025-11-18 15:16:46.869701,69,1.00,68
2025-11-18 15:16:47.828009,70,1.00,68
2025-11-18 15:16:48.818962,70,1.00,68
2025-11-18 15:16:49.837964,71,1.00,68
2025-11-18 15:16:50.858799,71,1.00,68
2025-11-18 15:16:51.848233,70,1.00,68
2025-11-18 15:16:52.836035,70,1.00,68
2025-11-18 15:16:53.828352,69,1.00,68
2025-11-18 15:16:54.819532,69,1.00,68
2025-11-18 15:16:55.837359,68,1.00,68
2025-11-18 15:16:56.826840,68,1.00,68
2025-11-18 15:16:57.817016,67,1.00,68
2025-11-18 15:16:58.839117,67,1.00,68
2025-11-18 15:16:59.857951,67,1.00,68
2025-11-18 15:17:00.817932,67,1.00,68
2025-11-18 15:17:01.838929,67,1.00,68
2025-11-18 15:17:02.830133,68,1.00,68
2025-11-18 15:17:03.817646,68,1.00,68
2025-11-18 15:17:04.838627,69,1.00,68
2025-11-18 15:17:05.828269,69,1.00,68
2025-11-18 15:17:06.819263,71,1.00,68
2025-11-18 15:17:07.837583,72,1.00,68
2025-11-18 15:17:08.827374,73,1.00,68
2025-11-18 15:17:09.818727,74,1.00,68
2025-11-18 15:17:10.843833,75,1.00,68
2025-11-18 15:17:11.828918,76,1.00,68
2025-11-18 15:17:12.818549,75,1.00,68
2025-11-18 15:17:13.868304,74,1.00,68
2025-11-18 15:17:14.829551,73,1.00,68
2025-11-18 15:17:15.818422,73,1.00,68
2025-11-18 15:17:16.838332,71,1.00,68
2025-11-18 15:17:17.829964,70,1.00,68
2025-11-18 15:17:18.819821,69,1.00,68
2025-11-18 15:17:19.839350,67,1.00,68
2025-11-18 15:17:20.827188,65,1.00,68
2025-11-18 15:17:21.818623,64,1.00,68
2025-11-18 15:17:22.837627,62,1.00,68
2025-11-18 15:17:23.857891,61,1.00,68
2025-11-18 15:17:24.848599,60,1.00,68
2025-11-18 15:17:25.836919,60,1.00,68
2025-11-18 15:17:26.831267,60,1.00,68
2025-11-18 15:17:27.817031,60,1.00,68
2025-11-18 15:17:28.838767,60,1.00,68
2025-11-18 15:17:29.828753,60,1.00,68
2025-11-18 15:17:30.818061,61,1.00,68
2025-11-18 15:17:31.837963,62,1.00,68
2025-11-18 15:17:32.827942,63,1.00,68
2025-11-18 15:17:33.818916,64,1.00,68
2025-11-18 15:17:34.838857,65,1.00,68
2025-11-18 15:17:35.827467,66,1.00,68
2025-11-18 15:17:36.818383,67,1.00,68
2025-11-18 15:17:37.838521,68,1.00,68
2025-11-18 15:17:38.886992,69,1.00,68
2025-11-18 15:17:39.818314,70,1.00,68
2025-11-18 15:17:40.837371,71,1.00,68
2025-11-18 15:17:41.830766,72,1.00,68
2025-11-18 15:17:42.817780,72,1.00,68
2025-11-18 15:17:43.839463,72,1.00,68
2025-11-18 15:17:44.829078,73,1.00,68
2025-11-18 15:17:45.823224,73,1.00,68
2025-11-18 15:17:46.838404,73,1.00,68
2025-11-18 15:17:47.858606,73,1.00,68
2025-11-18 15:17:48.822300,73,1.00,68
2025-11-18 15:17:49.959800,72,1.00,68
2025-11-18 15:17:50.889289,71,1.00,68
2025-11-18 15:17:51.849454,70,1.00,68
2025-11-18 15:17:52.837689,68,1.00,68
2025-11-18 15:17:53.828896,67,1.00,68
2025-11-18 15:17:54.848973,66,1.00,68
2025-11-18 15:17:55.837938,66,1.00,68
2025-11-18 15:17:56.858109,67,1.00,68
2025-11-18 15:17:57.848554,68,1.00,68
2025-11-18 15:17:58.839068,69,1.00,68
2025-11-18 15:17:59.829469,69,1.00,68
2025-11-18 15:18:00.819004,70,1.00,68
2025-11-18 15:18:01.869587,70,1.00,68
2025-11-18 15:18:02.828520,69,1.00,68
2025-11-18 15:18:03.819959,68,1.00,68
2025-11-18 15:18:04.839462,67,1.00,68
2025-11-18 15:18:05.828905,65,1.00,68
2025-11-18 15:18:06.817645,64,1.00,68
2025-11-18 15:18:07.839161,63,1.00,68
2025-11-18 15:18:08.829197,63,1.00,68
2025-11-18 15:18:09.818774,62,1.00,68
2025-11-18 15:18:10.839789,62,1.00,68
2025-11-18 15:18:11.828159,61,1.00,68
2025-11-18 15:18:12.817388,61,1.00,68
2025-11-18 15:18:13.869248,61,1.00,68
2025-11-18 15:18:14.829631,61,1.00,68
2025-11-18 15:18:15.821215,61,1.00,68
2025-11-18 15:18:16.836948,61,1.00,68
2025-11-18 15:18:17.828122,62,1.00,68
2025-11-18 15:18:18.823396,62,1.00,68
2025-11-18 15:18:19.839643,61,1.00,68
2025-11-18 15:18:20.828324,62,1.00,68
2025-11-18 15:18:21.817811,62,1.00,68
2025-11-18 15:18:22.838620,63,1.00,68
2025-11-18 15:18:23.827613,64,1.00,68
2025-11-18 15:18:24.819266,65,1.00,68
2025-11-18 15:18:25.838107,65,1.00,68
2025-11-18 15:18:26.828102,66,1.00,68
2025-11-18 15:18:27.817240,66,1.00,68
2025-11-18 15:18:28.837155,66,1.00,68
2025-11-18 15:18:29.857401,66,1.00,68
2025-11-18 15:18:30.877306,66,1.00,68
2025-11-18 15:18:31.837243,66,1.00,68
2025-11-18 15:18:32.859241,66,1.00,68
2025-11-18 15:18:33.818919,66,1.00,68
2025-11-18 15:18:34.838892,66,1.00,68
2025-11-18 15:18:35.858980,66,1.00,68
2025-11-18 15:18:36.818400,66,1.00,68
2025-11-18 15:18:37.838721,67,1.00,68
2025-11-18 15:18:38.827848,67,1.00,68
2025-11-18 15:18:39.817167,68,1.00,68
2025-11-18 15:18:40.836309,68,1.00,68
2025-11-18 15:18:41.824925,68,1.00,68
2025-11-18 15:18:42.815361,69,1.00,68
2025-11-18 15:18:43.834099,69,1.00,68
2025-11-18 15:18:44.824739,69,1.00,68
2025-11-18 15:18:45.815718,70,1.00,68
2025-11-18 15:18:46.834011,69,1.00,68
2025-11-18 15:18:47.822565,69,1.00,68
2025-11-18 15:18:48.813916,68,1.00,68
2025-11-18 15:18:49.834365,67,1.00,68
2025-11-18 15:18:50.824690,66,1.00,68
2025-11-18 15:18:51.813174,65,1.00,68
2025-11-18 15:18:52.802743,64,1.00,68
2025-11-18 15:18:53.821592,64,1.00,68
2025-11-18 15:18:54.817568,63,1.00,68
2025-11-18 15:18:55.824371,63,1.00,68
2025-11-18 15:18:56.814139,62,1.00,68
2025-11-18 15:18:57.804353,62,1.00,68
2025-11-18 15:18:58.825156,61,1.00,68
2025-11-18 15:18:59.814739,60,1.00,68
2025-11-18 15:19:00.803560,60,1.00,68
2025-11-18 15:19:01.823230,59,1.00,68
2025-11-18 15:19:02.815532,58,1.00,68
2025-11-18 15:19:03.834924,58,1.00,68
2025-11-18 15:19:04.823372,57,1.00,68
2025-11-18 15:19:05.814162,57,1.00,68
2025-11-18 15:19:06.803230,57,1.00,68
2025-11-18 15:19:07.823583,57,1.00,68
2025-11-18 15:19:08.813058,58,1.00,68
2025-11-18 15:19:09.802655,58,1.00,68
2025-11-18 15:19:10.825007,59,1.00,68
2025-11-18 15:19:11.813799,59,1.00,68
2025-11-18 15:19:12.803866,59,1.00,68
2025-11-18 15:19:13.822643,59,1.00,68
2025-11-18 15:19:14.816159,58,1.00,68
2025-11-18 15:19:15.803378,58,1.00,68
2025-11-18 15:19:16.823106,60,1.00,68
2025-11-18 15:19:17.813787,61,1.00,68
2025-11-18 15:19:18.803632,62,1.00,68
2025-11-18 15:19:19.822642,63,1.00,68
2025-11-18 15:19:20.812585,64,1.00,68
2025-11-18 15:19:21.804101,64,1.00,68
2025-11-18 15:19:22.823253,64,1.00,68
