Timestamp,Heart Rate (BPM)
2025-12-04 01:51:05.745232,75
2025-12-04 01:51:05.746259,74
2025-12-04 01:51:06.153546,72
2025-12-04 01:51:07.170315,71
2025-12-04 01:51:08.188317,71
2025-12-04 01:51:09.169248,71
2025-12-04 01:51:10.183043,71
2025-12-04 01:51:11.174236,72
2025-12-04 01:51:12.189737,73
2025-12-04 01:51:13.257313,74
2025-12-04 01:51:14.173989,75
2025-12-04 01:51:15.142970,76
2025-12-04 01:51:16.215630,76
2025-12-04 01:51:17.196498,76
2025-12-04 01:51:18.161277,75
2025-12-04 01:51:19.179916,74
2025-12-04 01:51:20.200185,74
2025-12-04 01:51:21.169867,73
