Timestamp,Heart Rate (BPM)
2025-12-04 01:51:41.136613,75
2025-12-04 01:51:41.188080,75
2025-12-04 01:51:42.174172,76
2025-12-04 01:51:43.205717,77
2025-12-04 01:51:44.172563,79
2025-12-04 01:51:45.192141,80
2025-12-04 01:51:46.210617,80
2025-12-04 01:51:47.179639,81
2025-12-04 01:51:48.162242,80
2025-12-04 01:51:49.184218,79
2025-12-04 01:51:50.203413,77
2025-12-04 01:51:51.179683,76
2025-12-04 01:51:52.200982,77
2025-12-04 01:51:53.180506,77
2025-12-04 01:51:54.145080,78
2025-12-04 01:51:55.209007,79
2025-12-04 01:51:56.181875,78
2025-12-04 01:51:57.147475,78
2025-12-04 01:51:58.168437,76
2025-12-04 01:51:59.187961,75
