Timestamp,HR After TTS (BPM),Reference HR,Mode,HR Used for Adjustment (BPM),Applied Intonation Scale,Playback Start Time,Playback End Time
2025-12-25 17:12:21.781097,80,70,Yes,N/A,1.000,2025-12-25 17:12:19.312954,2025-12-25 17:12:21.780708
2025-12-25 17:12:37.559729,75,70,Yes,N/A,1.000,2025-12-25 17:12:30.677808,2025-12-25 17:12:37.558759
2025-12-25 17:12:51.368743,77,70,Yes,N/A,1.000,2025-12-25 17:12:45.595616,2025-12-25 17:12:51.368704
2025-12-25 17:13:15.092948,73,70,Yes,N/A,0.400,2025-12-25 17:13:05.283009,2025-12-25 17:13:15.090853
2025-12-25 17:13:37.579804,73,70,Yes,N/A,1.000,2025-12-25 17:13:28.812557,2025-12-25 17:13:37.579750
2025-12-25 17:13:57.769500,73,70,Yes,N/A,1.500,2025-12-25 17:13:48.163297,2025-12-25 17:13:57.769454
2025-12-25 17:14:24.770629,71,70,Yes,N/A,1.000,2025-12-25 17:14:11.250869,2025-12-25 17:14:24.770568
2025-12-25 17:14:46.477940,76,70,Yes,N/A,1.000,2025-12-25 17:14:37.441515,2025-12-25 17:14:46.477842
2025-12-25 17:15:10.690160,77,70,Yes,N/A,1.000,2025-12-25 17:15:01.230537,2025-12-25 17:15:10.690100
2025-12-25 17:15:37.095402,74,70,Yes,N/A,1.000,2025-12-25 17:15:23.906385,2025-12-25 17:15:37.095328
2025-12-25 17:16:02.519882,75,70,Yes,N/A,1.000,2025-12-25 17:15:50.553524,2025-12-25 17:16:02.519820
2025-12-25 17:16:28.315331,79,70,Yes,N/A,1.000,2025-12-25 17:16:14.609851,2025-12-25 17:16:28.315290
2025-12-25 17:17:02.294507,72,70,Yes,N/A,1.000,2025-12-25 17:16:47.549744,2025-12-25 17:17:02.294443
2025-12-25 17:17:31.771120,77,70,Yes,N/A,1.000,2025-12-25 17:17:18.409134,2025-12-25 17:17:31.771067
2025-12-25 17:18:07.424021,72,70,Yes,N/A,1.000,2025-12-25 17:17:54.625300,2025-12-25 17:18:07.423983
2025-12-25 17:18:39.248826,75,70,Yes,N/A,1.000,2025-12-25 17:18:24.493492,2025-12-25 17:18:39.248782
2025-12-25 17:19:14.309908,68,70,Yes,N/A,1.000,2025-12-25 17:18:58.757482,2025-12-25 17:19:14.309830
