Timestamp,HR After TTS (BPM),Reference HR,Mode,HR Used for Adjustment (BPM),Applied Intonation Scale,Playback Start Time,Playback End Time
2025-12-25 12:54:50.805228,90,85,Yes,N/A,1.120,2025-12-25 12:54:48.360759,2025-12-25 12:54:50.805184
2025-12-25 12:55:13.262796,85,85,Yes,N/A,1.079,2025-12-25 12:55:02.430714,2025-12-25 12:55:13.262745
2025-12-25 12:55:36.454905,79,85,Yes,N/A,1.229,2025-12-25 12:55:24.718438,2025-12-25 12:55:36.454853
2025-12-25 12:56:00.908738,76,85,Yes,N/A,1.379,2025-12-25 12:55:47.549021,2025-12-25 12:56:00.908675
2025-12-25 12:56:28.315031,76,85,Yes,N/A,1.529,2025-12-25 12:56:15.484121,2025-12-25 12:56:28.314992
2025-12-25 12:56:53.156437,79,85,Yes,N/A,1.679,2025-12-25 12:56:38.818920,2025-12-25 12:56:53.156394
2025-12-25 12:57:21.419066,79,85,Yes,N/A,1.829,2025-12-25 12:57:08.759434,2025-12-25 12:57:21.418998
2025-12-25 12:57:50.016961,74,85,Yes,N/A,1.979,2025-12-25 12:57:35.781808,2025-12-25 12:57:50.016923
2025-12-25 12:58:13.735020,84,85,Yes,N/A,2.000,2025-12-25 12:58:00.396285,2025-12-25 12:58:13.734980
2025-12-25 12:58:49.671101,78,85,Yes,N/A,2.000,2025-12-25 12:58:34.632161,2025-12-25 12:58:49.671063
2025-12-25 12:59:11.573639,79,85,Yes,N/A,2.000,2025-12-25 12:58:59.281379,2025-12-25 12:59:11.573575
2025-12-25 12:59:40.319105,78,85,Yes,N/A,2.000,2025-12-25 12:59:23.112767,2025-12-25 12:59:40.319042
2025-12-25 13:00:07.233314,70,85,Yes,N/A,2.000,2025-12-25 12:59:51.502178,2025-12-25 13:00:07.233252
2025-12-25 13:00:46.824867,70,85,Yes,N/A,2.000,2025-12-25 13:00:31.610685,2025-12-25 13:00:46.824826
2025-12-25 13:01:18.194077,74,85,Yes,N/A,2.000,2025-12-25 13:01:02.235044,2025-12-25 13:01:18.194033
2025-12-25 13:01:50.823282,69,85,Yes,N/A,2.000,2025-12-25 13:01:32.858581,2025-12-25 13:01:50.823222
