Timestamp,HR After TTS (BPM),Reference HR,Mode,HR Used for Adjustment (BPM),Applied Intonation Scale,Playback Start Time,Playback End Time
2025-12-25 16:52:54.336838,81,91,Yes,N/A,1.150,2025-12-25 16:52:51.946344,2025-12-25 16:52:54.336796
2025-12-25 16:53:07.406933,79,91,Yes,N/A,1.300,2025-12-25 16:53:02.063228,2025-12-25 16:53:07.406884
2025-12-25 16:53:21.376860,82,91,Yes,N/A,1.450,2025-12-25 16:53:14.726315,2025-12-25 16:53:21.376828
2025-12-25 16:53:41.536526,80,91,Yes,N/A,1.600,2025-12-25 16:53:33.334989,2025-12-25 16:53:41.536490
2025-12-25 16:53:58.467234,75,91,Yes,N/A,1.750,2025-12-25 16:53:51.702745,2025-12-25 16:53:58.467194
2025-12-25 16:54:10.146522,75,91,Yes,N/A,1.900,2025-12-25 16:54:05.023477,2025-12-25 16:54:10.146485
2025-12-25 16:54:22.936615,67,91,Yes,N/A,2.000,2025-12-25 16:54:16.359078,2025-12-25 16:54:22.936570
2025-12-25 16:54:33.386717,66,91,Yes,N/A,2.000,2025-12-25 16:54:27.645203,2025-12-25 16:54:33.386658
2025-12-25 16:54:54.106642,79,91,Yes,N/A,2.000,2025-12-25 16:54:43.729731,2025-12-25 16:54:54.106599
2025-12-25 16:55:07.306716,80,91,Yes,N/A,2.000,2025-12-25 16:55:01.599713,2025-12-25 16:55:07.306670
2025-12-25 16:55:24.676570,74,91,Yes,N/A,2.000,2025-12-25 16:55:14.121250,2025-12-25 16:55:24.676524
2025-12-25 16:55:42.406642,76,91,Yes,N/A,2.000,2025-12-25 16:55:32.712114,2025-12-25 16:55:42.406591
