Timestamp,HR After TTS (BPM),Reference HR,Mode,HR Used for Adjustment (BPM),Applied Intonation Scale,Playback Start Time,Playback End Time
2025-12-24 16:46:44.908995,78,71,No,N/A,1.000,2025-12-24 16:46:42.404299,2025-12-24 16:46:44.908940
2025-12-24 16:47:01.071146,77,71,No,N/A,1.000,2025-12-24 16:46:53.703567,2025-12-24 16:47:01.071093
2025-12-24 16:47:26.268412,69,71,No,N/A,1.000,2025-12-24 16:47:17.111899,2025-12-24 16:47:26.267999
2025-12-24 16:47:45.550178,64,71,No,N/A,1.000,2025-12-24 16:47:35.772788,2025-12-24 16:47:45.550120
2025-12-24 16:48:07.916499,64,71,No,N/A,1.000,2025-12-24 16:47:54.556628,2025-12-24 16:48:07.916424
2025-12-24 16:48:30.291476,62,71,No,N/A,1.000,2025-12-24 16:48:16.928746,2025-12-24 16:48:30.291441
2025-12-24 16:48:52.875761,65,71,No,N/A,1.000,2025-12-24 16:48:43.511919,2025-12-24 16:48:52.875718
2025-12-24 16:49:28.258687,64,71,No,N/A,1.000,2025-12-24 16:49:14.938225,2025-12-24 16:49:28.258520
2025-12-24 16:49:58.582462,67,71,No,N/A,1.000,2025-12-24 16:49:46.483566,2025-12-24 16:49:58.582413
2025-12-24 16:50:28.429119,63,71,No,N/A,1.000,2025-12-24 16:50:14.820204,2025-12-24 16:50:28.429080
2025-12-24 16:50:50.492164,65,71,No,N/A,1.000,2025-12-24 16:50:39.603318,2025-12-24 16:50:50.492126
2025-12-24 16:51:14.858955,69,71,No,N/A,1.000,2025-12-24 16:51:03.880149,2025-12-24 16:51:14.858914
2025-12-24 16:51:39.996486,64,71,No,N/A,1.000,2025-12-24 16:51:28.886850,2025-12-24 16:51:39.996429
2025-12-24 16:51:59.993778,60,71,No,N/A,1.000,2025-12-24 16:51:49.251764,2025-12-24 16:51:59.993740
2025-12-24 16:52:19.353563,60,71,No,N/A,1.000,2025-12-24 16:52:08.005155,2025-12-24 16:52:19.353508
2025-12-24 16:52:46.151364,65,71,No,N/A,1.000,2025-12-24 16:52:34.985922,2025-12-24 16:52:46.151299
2025-12-24 16:53:08.346388,71,71,No,N/A,1.000,2025-12-24 16:52:59.374998,2025-12-24 16:53:08.346343
2025-12-24 16:53:28.266503,66,71,No,N/A,1.000,2025-12-24 16:53:18.718634,2025-12-24 16:53:28.266464
2025-12-24 16:53:44.184827,61,71,No,N/A,1.000,2025-12-24 16:53:35.541097,2025-12-24 16:53:44.184768
2025-12-24 16:54:08.004300,61,71,No,N/A,1.000,2025-12-24 16:53:56.579186,2025-12-24 16:54:08.004251
