Timestamp,HR After TTS (BPM),Reference HR,Mode,HR Used for Adjustment (BPM),Applied Intonation Scale,Playback Start Time,Playback End Time
2025-12-24 17:01:17.478220,80,71,Yes,N/A,1.000,2025-12-24 17:01:15.070695,2025-12-24 17:01:17.478156
2025-12-24 17:01:29.538648,78,71,Yes,N/A,1.000,2025-12-24 17:01:24.895618,2025-12-24 17:01:29.538592
2025-12-24 17:01:54.098726,71,71,Yes,N/A,1.900,2025-12-24 17:01:47.883001,2025-12-24 17:01:54.098675
2025-12-24 17:02:10.428528,70,71,Yes,N/A,1.780,2025-12-24 17:02:05.711368,2025-12-24 17:02:10.428483
2025-12-24 17:02:34.438735,67,71,Yes,N/A,2.000,2025-12-24 17:02:27.036419,2025-12-24 17:02:34.438687
2025-12-24 17:02:56.728410,68,71,Yes,N/A,2.000,2025-12-24 17:02:47.386243,2025-12-24 17:02:56.728350
2025-12-24 17:03:22.459077,76,71,Yes,N/A,2.000,2025-12-24 17:03:14.673177,2025-12-24 17:03:22.459026
2025-12-24 17:03:42.049018,67,71,Yes,N/A,1.650,2025-12-24 17:03:32.637129,2025-12-24 17:03:42.048956
2025-12-24 17:04:09.819234,71,71,Yes,N/A,2.000,2025-12-24 17:03:59.936844,2025-12-24 17:04:09.819174
2025-12-24 17:04:39.892730,74,71,Yes,N/A,2.000,2025-12-24 17:04:30.706429,2025-12-24 17:04:39.892681
2025-12-24 17:05:04.330631,63,71,Yes,N/A,2.000,2025-12-24 17:04:53.685218,2025-12-24 17:05:04.330584
2025-12-24 17:05:34.656642,68,71,Yes,N/A,2.000,2025-12-24 17:05:24.763543,2025-12-24 17:05:34.656588
2025-12-24 17:06:05.219896,67,71,Yes,N/A,2.000,2025-12-24 17:05:54.604587,2025-12-24 17:06:05.219858
2025-12-24 17:06:33.549429,66,71,Yes,N/A,2.000,2025-12-24 17:06:21.522027,2025-12-24 17:06:33.549387
2025-12-24 17:06:55.480591,64,71,Yes,N/A,1.910,2025-12-24 17:06:42.809546,2025-12-24 17:06:55.480550
2025-12-24 17:07:16.053266,64,71,Yes,N/A,2.000,2025-12-24 17:07:06.414542,2025-12-24 17:07:16.053222
2025-12-24 17:07:45.348043,66,71,Yes,N/A,2.000,2025-12-24 17:07:32.488198,2025-12-24 17:07:45.347994
2025-12-24 17:08:09.600115,65,71,Yes,N/A,2.000,2025-12-24 17:07:58.625830,2025-12-24 17:08:09.599782
