Timestamp,Heart Rate (BPM),Prosody Level Applied,Reference HR
2025-12-25 15:50:58.270522,94,1.00,85
2025-12-25 15:50:59.273484,94,1.00,85
2025-12-25 15:51:00.276709,94,1.00,85
2025-12-25 15:51:01.279318,94,1.00,85
2025-12-25 15:51:02.281609,94,1.00,85
2025-12-25 15:51:03.284987,94,1.00,85
2025-12-25 15:51:04.288431,95,1.00,85
2025-12-25 15:51:05.291301,95,1.00,85
2025-12-25 15:51:06.244048,95,1.00,85
2025-12-25 15:51:07.251909,95,1.00,85
2025-12-25 15:51:08.254414,96,1.00,85
2025-12-25 15:51:09.257349,96,1.00,85
2025-12-25 15:51:10.259636,96,1.00,85
2025-12-25 15:51:11.262392,96,1.00,85
2025-12-25 15:51:12.265072,95,1.00,85
2025-12-25 15:51:13.267598,95,1.00,85
2025-12-25 15:51:14.319376,94,1.00,85
2025-12-25 15:51:17.154315,94,1.00,85
2025-12-25 15:51:17.204506,93,1.00,85
2025-12-25 15:51:17.254675,92,1.00,85
2025-12-25 15:51:18.274938,91,1.00,85
2025-12-25 15:51:19.277536,91,1.00,85
2025-12-25 15:51:20.280557,90,1.00,85
2025-12-25 15:51:21.282338,90,1.00,85
2025-12-25 15:51:22.284658,90,1.00,85
2025-12-25 15:51:23.287083,89,1.00,85
2025-12-25 15:51:24.288916,89,1.00,85
2025-12-25 15:51:25.241404,89,1.00,85
2025-12-25 15:51:26.243067,90,1.00,85
2025-12-25 15:51:27.245852,90,1.00,85
2025-12-25 15:51:28.247528,91,1.00,85
2025-12-25 15:51:29.249407,92,1.00,85
2025-12-25 15:51:30.251215,93,1.00,85
2025-12-25 15:51:31.252818,94,1.00,85
2025-12-25 15:51:32.254234,95,1.00,85
2025-12-25 15:51:33.255597,95,1.00,85
2025-12-25 15:51:34.257443,95,1.00,85
2025-12-25 15:51:35.258927,95,1.00,85
2025-12-25 15:51:36.260305,96,1.00,85
2025-12-25 15:51:37.261896,96,1.00,85
2025-12-25 15:51:38.263349,96,1.00,85
2025-12-25 15:51:39.265604,96,1.00,85
2025-12-25 15:51:40.267872,97,1.00,85
2025-12-25 15:51:41.269804,98,1.00,85
2025-12-25 15:51:42.271535,98,1.00,85
2025-12-25 15:51:43.273981,99,1.00,85
2025-12-25 15:51:44.277146,99,1.00,85
2025-12-25 15:51:45.279871,100,1.00,85
2025-12-25 15:51:46.282224,99,1.00,85
2025-12-25 15:51:47.284003,99,1.00,85
2025-12-25 15:51:48.286307,99,1.00,85
2025-12-25 15:51:49.238080,98,1.00,85
2025-12-25 15:51:50.289971,97,1.00,85
2025-12-25 15:51:51.292327,96,1.00,85
2025-12-25 15:51:52.244601,95,1.00,85
2025-12-25 15:51:53.247506,95,1.00,85
2025-12-25 15:51:54.250817,95,1.00,85
2025-12-25 15:51:55.253944,94,1.00,85
2025-12-25 15:51:56.256668,93,1.00,85
2025-12-25 15:51:57.259264,92,1.00,85
2025-12-25 15:51:58.261683,92,1.00,85
2025-12-25 15:51:59.264005,92,1.00,85
2025-12-25 15:52:00.266385,91,1.00,85
2025-12-25 15:52:01.268914,91,1.00,85
2025-12-25 15:52:02.270608,91,1.00,85
2025-12-25 15:52:03.272515,91,1.00,85
2025-12-25 15:52:04.274423,91,1.00,85
2025-12-25 15:52:05.276363,91,1.00,85
2025-12-25 15:52:06.278570,91,1.00,85
2025-12-25 15:52:07.281271,91,1.00,85
2025-12-25 15:52:08.284053,90,1.00,85
2025-12-25 15:52:09.286799,90,1.00,85
2025-12-25 15:52:10.239100,90,1.00,85
2025-12-25 15:52:11.291338,90,1.00,85
2025-12-25 15:52:12.293764,90,1.00,85
2025-12-25 15:52:13.296273,90,1.00,85
2025-12-25 15:52:14.298931,90,1.00,85
2025-12-25 15:52:15.251542,90,1.00,85
2025-12-25 15:52:16.254173,91,1.00,85
2025-12-25 15:52:17.256746,91,1.00,85
2025-12-25 15:52:18.259238,90,1.00,85
2025-12-25 15:52:19.262082,90,1.00,85
2025-12-25 15:52:20.264919,89,1.00,85
2025-12-25 15:52:21.267308,89,1.00,85
2025-12-25 15:52:22.269499,88,1.00,85
2025-12-25 15:52:23.271900,88,1.00,85
2025-12-25 15:52:24.273970,88,1.00,85
2025-12-25 15:52:25.275941,89,1.00,85
2025-12-25 15:52:26.279067,89,1.00,85
2025-12-25 15:52:27.282124,89,1.00,85
2025-12-25 15:52:28.285163,90,1.00,85
2025-12-25 15:52:29.288132,90,1.00,85
2025-12-25 15:52:30.291030,90,1.00,85
2025-12-25 15:52:31.243175,91,1.00,85
2025-12-25 15:52:32.246115,91,1.00,85
2025-12-25 15:52:33.248634,91,1.00,85
2025-12-25 15:52:34.251155,92,1.00,85
2025-12-25 15:52:35.254158,92,1.00,85
2025-12-25 15:52:36.258423,92,1.00,85
2025-12-25 15:52:37.262532,92,1.00,85
2025-12-25 15:52:38.266852,91,1.00,85
2025-12-25 15:52:39.269503,91,1.00,85
2025-12-25 15:52:40.271927,91,1.00,85
2025-12-25 15:52:41.273741,91,1.00,85
2025-12-25 15:52:42.275453,91,1.00,85
2025-12-25 15:52:43.277086,92,1.00,85
2025-12-25 15:52:44.279390,92,1.00,85
2025-12-25 15:52:45.282314,92,1.00,85
2025-12-25 15:52:46.284807,92,1.00,85
2025-12-25 15:52:47.287734,92,1.00,85
2025-12-25 15:52:48.290306,92,1.00,85
2025-12-25 15:52:49.242606,92,1.00,85
