Timestamp,Heart Rate (BPM),Prosody Level Applied,Reference HR
2025-12-25 17:07:09.336612,64,1.00,91
2025-12-25 17:07:10.339004,63,1.00,91
2025-12-25 17:07:11.340977,63,1.00,91
2025-12-25 17:07:12.343531,63,1.00,91
2025-12-25 17:07:13.346576,63,1.00,91
2025-12-25 17:07:14.349008,63,1.00,91
2025-12-25 17:07:15.350686,64,1.00,91
2025-12-25 17:07:16.353087,64,1.00,91
2025-12-25 17:07:17.355771,64,1.00,91
2025-12-25 17:07:18.358041,64,1.00,91
2025-12-25 17:07:19.360640,64,1.00,91
2025-12-25 17:07:20.362758,63,1.00,91
2025-12-25 17:07:21.365830,62,1.00,91
2025-12-25 17:07:22.368309,62,1.00,91
2025-12-25 17:07:23.420818,62,1.00,91
2025-12-25 17:07:24.373501,63,1.00,91
2025-12-25 17:07:25.376017,64,1.00,91
2025-12-25 17:07:28.119412,65,1.00,91
2025-12-25 17:07:28.169656,66,1.00,91
2025-12-25 17:07:28.370308,66,1.00,91
2025-12-25 17:07:29.389903,65,1.00,91
2025-12-25 17:07:30.342583,64,1.00,91
2025-12-25 17:07:31.345284,63,1.00,91
2025-12-25 17:07:32.348822,63,1.00,91
2025-12-25 17:07:33.352180,63,1.00,91
2025-12-25 17:07:34.355029,65,1.00,91
2025-12-25 17:07:35.358054,66,1.00,91
2025-12-25 17:07:36.360824,68,1.00,91
2025-12-25 17:07:37.362894,69,1.00,91
2025-12-25 17:07:38.364742,69,1.00,91
2025-12-25 17:07:39.366976,69,1.00,91
2025-12-25 17:07:40.408471,68,1.00,91
2025-12-25 17:07:41.360532,67,1.00,91
2025-12-25 17:07:42.365910,67,1.00,91
2025-12-25 17:07:43.368194,67,1.00,91
2025-12-25 17:07:44.370904,68,1.00,91
2025-12-25 17:07:45.374138,69,1.00,91
2025-12-25 17:07:46.378127,70,1.00,91
2025-12-25 17:07:47.381792,71,1.00,91
2025-12-25 17:07:48.335154,71,1.00,91
2025-12-25 17:07:49.337825,71,1.00,91
2025-12-25 17:07:50.389657,71,1.00,91
2025-12-25 17:07:51.342076,70,1.00,91
2025-12-25 17:07:52.344241,70,1.00,91
2025-12-25 17:07:53.346819,70,1.00,91
2025-12-25 17:07:54.349153,70,1.00,91
2025-12-25 17:07:55.351659,70,1.00,91
2025-12-25 17:07:56.354079,71,1.00,91
2025-12-25 17:07:57.358696,72,1.00,91
2025-12-25 17:07:58.361142,72,1.00,91
2025-12-25 17:07:59.363853,72,1.00,91
2025-12-25 17:08:00.366517,71,1.00,91
2025-12-25 17:08:01.369022,71,1.00,91
2025-12-25 17:08:02.371756,71,1.00,91
2025-12-25 17:08:03.374513,72,1.00,91
2025-12-25 17:08:04.376800,73,1.00,91
2025-12-25 17:08:05.379433,74,1.00,91
2025-12-25 17:08:06.332071,76,1.00,91
2025-12-25 17:08:07.384998,77,1.00,91
2025-12-25 17:08:08.337357,78,1.00,91
2025-12-25 17:08:09.390822,79,1.00,91
2025-12-25 17:08:10.415828,79,1.00,91
2025-12-25 17:08:11.341857,79,1.00,91
2025-12-25 17:08:12.401733,78,1.00,91
2025-12-25 17:08:13.420140,77,1.00,91
2025-12-25 17:08:14.382422,76,1.00,91
2025-12-25 17:08:15.357026,75,1.00,91
2025-12-25 17:08:16.373987,75,1.00,91
2025-12-25 17:08:17.405012,74,1.00,91
2025-12-25 17:08:18.372177,75,1.00,91
2025-12-25 17:08:19.346150,76,1.00,91
2025-12-25 17:08:20.387797,77,1.00,91
2025-12-25 17:08:21.363577,77,1.00,91
2025-12-25 17:08:22.356056,76,1.00,91
2025-12-25 17:08:23.360975,74,1.00,91
2025-12-25 17:08:24.366821,73,1.00,91
2025-12-25 17:08:25.395048,71,1.00,91
2025-12-25 17:08:26.363046,71,1.00,91
2025-12-25 17:08:27.400586,70,1.00,91
2025-12-25 17:08:28.359673,71,1.00,91
2025-12-25 17:08:29.407004,72,1.00,91
2025-12-25 17:08:30.378040,72,1.00,91
2025-12-25 17:08:31.395332,73,1.00,91
2025-12-25 17:08:32.369307,72,1.00,91
2025-12-25 17:08:33.403050,71,1.00,91
2025-12-25 17:08:34.394091,71,1.00,91
